field,value
hypothesis,Monday_and_2024_12_holes_have_noncalendar_market_state_components
decision_use,decide_which_candidate_test_rows_can_move_to_state_guard_score_table_design
comparison_baseline,run267Z Tier A candidate_test_review plus run267AA followup queue
control_variables,same_2024_period_same_MT5_trade_reports_same_candidate_pool_same_run267V_feature_surfaces
changed_variables,feature_state_bucket_attribution_and_guard_queue_only
sample_scope,Tier A focus trades; Tier A+B duplicate rows excluded from routing evidence
success_criteria,broad_state_guard_candidates=historical_vol_5_over_20=high;abs_return_1_over_atr_14=high;abs_di_spread_14=mid;abs_di_spread_14=high;atr_14_over_atr_50=high;ready_queue_rows=7
failure_criteria,only_calendar_literal_or_incoherent_state_explains_weak_slices
invalid_conditions,missing_trade_feature_join_or_PnL_used_as_training_label_or_duplicate_Tier_A_plus_B_used_as_routed_evidence
stop_conditions,do_not_tune_Monday_or_December_literal_filter;stop_guard_loop_after_two_failed_passes
evidence_plan,guard_materialization_queue;state_contrast;future_score_table_manifest;future_MT5_trade_list_review
