timestamp,split,source_tier,route_role,first_hit_target,first_hit_bar,label_start_time,label_end_time,entry_price,bracket_return,long_first_state,short_first_state,first_hit_censor_reason
2022-09-01 16:35:00+00:00,train,Tier B,tier_b_fallback,1,1,2022-09-01 16:35:00+00:00,2022-09-01 17:35:00+00:00,12141.9,0.000911252305308676,favorable,adverse,target_favorable_first_hit
2022-09-01 16:40:00+00:00,train,Tier A,tier_a_primary,1,1,2022-09-01 16:40:00+00:00,2022-09-01 17:40:00+00:00,12171.4,0.0009738658239524247,favorable,adverse,target_favorable_first_hit
2022-09-01 16:45:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 16:45:00+00:00,2022-09-01 17:45:00+00:00,12187.6,0.0010441264629191865,adverse,favorable,target_favorable_first_hit
2022-09-01 16:50:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 16:50:00+00:00,2022-09-01 17:50:00+00:00,12162.1,0.001107504600305156,adverse,favorable,target_favorable_first_hit
2022-09-01 16:55:00+00:00,train,Tier A,tier_a_primary,0,-1,2022-09-01 16:55:00+00:00,2022-09-01 17:55:00+00:00,12168.85,0.0011182214256709852,same_bar_tie,same_bar_tie,no_favorable_first_hit_or_adverse_first
2022-09-01 17:00:00+00:00,train,Tier A,tier_a_primary,0,-1,2022-09-01 17:00:00+00:00,2022-09-01 18:00:00+00:00,12173.7,0.0011896083614976358,same_bar_tie,same_bar_tie,no_favorable_first_hit_or_adverse_first
2022-09-01 17:05:00+00:00,train,Tier A,tier_a_primary,1,1,2022-09-01 17:05:00+00:00,2022-09-01 18:05:00+00:00,12122.6,0.0013761643188243955,favorable,adverse,target_favorable_first_hit
2022-09-01 17:10:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 17:10:00+00:00,2022-09-01 18:10:00+00:00,12129.6,0.0013832011035400397,adverse,favorable,target_favorable_first_hit
2022-09-01 17:15:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 17:15:00+00:00,2022-09-01 18:15:00+00:00,12106.15,0.0013917057847501863,adverse,favorable,target_favorable_first_hit
2022-09-01 17:20:00+00:00,train,Tier A,tier_a_primary,1,1,2022-09-01 17:20:00+00:00,2022-09-01 18:20:00+00:00,12102.6,0.001360617271328655,favorable,adverse,target_favorable_first_hit
2022-09-01 17:25:00+00:00,train,Tier A,tier_a_primary,1,1,2022-09-01 17:25:00+00:00,2022-09-01 18:25:00+00:00,12145.6,0.001421914609771616,favorable,adverse,target_favorable_first_hit
2022-09-01 17:30:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 17:30:00+00:00,2022-09-01 18:30:00+00:00,12156.1,0.0014108941410690527,adverse,favorable,target_favorable_first_hit
2022-09-01 17:35:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 17:35:00+00:00,2022-09-01 18:35:00+00:00,12127.9,0.0014113773373029075,adverse,favorable,target_favorable_first_hit
2022-09-01 17:40:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 17:40:00+00:00,2022-09-01 18:40:00+00:00,12085.6,0.001501022187233792,adverse,favorable,target_favorable_first_hit
2022-09-01 17:45:00+00:00,train,Tier A,tier_a_primary,-1,3,2022-09-01 17:45:00+00:00,2022-09-01 18:45:00+00:00,12069.65,0.0014959974244257875,adverse,favorable,target_favorable_first_hit
2022-09-01 17:50:00+00:00,train,Tier A,tier_a_primary,1,1,2022-09-01 17:50:00+00:00,2022-09-01 18:50:00+00:00,12058.6,0.0014551804365561393,favorable,adverse,target_favorable_first_hit
2022-09-01 17:55:00+00:00,train,Tier A,tier_a_primary,-1,1,2022-09-01 17:55:00+00:00,2022-09-01 18:55:00+00:00,12065.65,0.0014399893721639126,adverse,favorable,target_favorable_first_hit
2022-09-01 18:00:00+00:00,train,Tier A,tier_a_primary,1,2,2022-09-01 18:00:00+00:00,2022-09-01 19:00:00+00:00,12045.85,0.0014441180019484515,favorable,adverse,target_favorable_first_hit
2022-09-01 18:05:00+00:00,train,Tier A,tier_a_primary,1,1,2022-09-01 18:05:00+00:00,2022-09-01 19:05:00+00:00,12040.1,0.0014244196611997641,favorable,adverse,target_favorable_first_hit
2022-09-01 18:10:00+00:00,train,Tier A,tier_a_primary,-1,2,2022-09-01 18:10:00+00:00,2022-09-01 19:10:00+00:00,12070.1,0.001466276872798141,adverse,favorable,target_favorable_first_hit
