row_id,stage_id,run_id,view,tier_scope,scoreboard,status,judgment,evidence_boundary,report_path,notes
stage270_aggressive_nonfilter_upside_probe_open_v1,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,stage270_aggressive_nonfilter_upside_probe_open_v1,stage_open,Tier A+B reference evidence,experiment_design,opened,planning_open_no_candidate_selection,research_development_only,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/00_spec/stage_brief.md,Stage270 opened from run269E queue; selected_candidate=none; onnx_readiness=not_claimed.
run270A_aggressive_upside_probe_design_v1__tier_a,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270A_aggressive_upside_probe_design_v1,aggressive_upside_probe_design,Tier A separate,structural_scout,completed,aggressive_probe_design_no_performance_claim,research_development_only,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270A_report.md,Tier A structural supply metrics produced; selected_candidate=none; onnx_readiness=not_claimed.
run270A_aggressive_upside_probe_design_v1__tier_b,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270A_aggressive_upside_probe_design_v1,aggressive_upside_probe_design,Tier B separate,structural_scout,completed,partial_context_aggressive_probe_design_no_performance_claim,research_development_only,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270A_report.md,Tier B structural supply metrics produced with partial-context caveat; selected_candidate=none.
run270A_aggressive_upside_probe_design_v1__tier_ab,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270A_aggressive_upside_probe_design_v1,aggressive_upside_probe_design,Tier A+B combined,structural_scout,completed,combined_structural_supply_view_no_routed_pnl_claim,research_development_only,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270A_report.md,Tier A+B combined is structural supply only; next_action=run270B_materialize_aggressive_probe_payloads.
run270B_aggressive_probe_payload_materialization_v1__tier_a,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270B_aggressive_probe_payload_materialization_v1,aggressive_probe_payload_materialization,Tier A separate,structural_payload_materialization,completed,tier_a_payloads_materialized_no_performance_claim,research_development_only,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270B_report.md,Tier A signal payloads and MT5 handoff CSVs materialized; selected_candidate=none; onnx_readiness=not_claimed.
run270B_aggressive_probe_payload_materialization_v1__tier_b,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270B_aggressive_probe_payload_materialization_v1,aggressive_probe_payload_materialization,Tier B separate,structural_payload_materialization,completed,tier_b_structural_payloads_no_runtime_authority,research_development_only,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270B_report.md,Tier B partial-context payloads preserved without runtime fallback authority.
run270B_aggressive_probe_payload_materialization_v1__tier_ab,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270B_aggressive_probe_payload_materialization_v1,aggressive_probe_payload_materialization,Tier A+B combined,structural_payload_materialization,completed,combined_payload_view_no_routed_pnl_claim,research_development_only,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270B_report.md,Combined payload view is structural only; next_action=run270C_execute_or_prepare_mt5_aggressive_probe.
run270C_aggressive_probe_mt5_signal_replay_v1__mt5_q01_tier_a_validation_is,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270C_aggressive_probe_mt5_signal_replay_v1,mt5_q01_tier_a_validation_is,Tier A,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run270C_aggressive_probe_mt5_signal_replay_v1__mt5_q01_tier_a_oos,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270C_aggressive_probe_mt5_signal_replay_v1,mt5_q01_tier_a_oos,Tier A,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run270C_aggressive_probe_mt5_signal_replay_v1__mt5_q01_tier_b_validation_is,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270C_aggressive_probe_mt5_signal_replay_v1,mt5_q01_tier_b_validation_is,Tier B,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run270C_aggressive_probe_mt5_signal_replay_v1__mt5_q01_tier_b_oos,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270C_aggressive_probe_mt5_signal_replay_v1,mt5_q01_tier_b_oos,Tier B,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run270C_aggressive_probe_mt5_signal_replay_v1__mt5_q02_tier_a_validation_is,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270C_aggressive_probe_mt5_signal_replay_v1,mt5_q02_tier_a_validation_is,Tier A,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run270C_aggressive_probe_mt5_signal_replay_v1__mt5_q02_tier_a_oos,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270C_aggressive_probe_mt5_signal_replay_v1,mt5_q02_tier_a_oos,Tier A,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
run270C_aggressive_probe_mt5_signal_replay_v1__mt5_q02_tier_b_validation_is,270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe,run270C_aggressive_probe_mt5_signal_replay_v1,mt5_q02_tier_b_validation_is,Tier B,runtime_probe,completed,runtime_probe_completed_inconclusive_no_candidate_selection,runtime_probe_no_candidate_selection,stages/270_onnx_candidate_campaign__aggressive_nonfilter_upside_probe/03_reviews/run270C_report.md,external_verification_status=completed;selected_candidate=none;onnx_readiness=not_claimed.
