run_id,failure_id,failure_type,segment,net_profit,profit_factor,trade_count,attribution,repair_use,claim_boundary
run364BP_review_short_source_quality_repair_scout_without_db_v1,stress_month(월)_2025-03,combined_month_stress(합산 월 압박),2025-03,-9.26,0.7656451654,14,combined tape segment failed net/PF floor(합산 테이프 조각이 순수익/PF 하한 실패),"next run may test entry-known broad clean lift, not exact month removal(다음 실행은 정확 월 제거가 아니라 진입기지 넓은 클린 보강을 시험)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,stress_month(월)_2025-12,combined_month_stress(합산 월 압박),2025-12,-9.76,0.9389408489,62,combined tape segment failed net/PF floor(합산 테이프 조각이 순수익/PF 하한 실패),"next run may test entry-known broad clean lift, not exact month removal(다음 실행은 정확 월 제거가 아니라 진입기지 넓은 클린 보강을 시험)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_month(진입월)_2025-01,synthetic_short_source_stress(합성 숏 원천 압박),2025-01,18.84,21.7717750827,3,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_month(진입월)_2025-03,synthetic_short_source_stress(합성 숏 원천 압박),2025-03,-12.4,0.5314542638,7,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_month(진입월)_2025-04,synthetic_short_source_stress(합성 숏 원천 압박),2025-04,-22.65,0.2061205174,3,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_month(진입월)_2025-08,synthetic_short_source_stress(합성 숏 원천 압박),2025-08,-7.67,0.5012360135,4,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_month(진입월)_2025-09,synthetic_short_source_stress(합성 숏 원천 압박),2025-09,1.92,3.0338624339,2,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_month(진입월)_2025-12,synthetic_short_source_stress(합성 숏 원천 압박),2025-12,-10.07,0.452270873,2,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_month(진입월)_2026-01,synthetic_short_source_stress(합성 숏 원천 압박),2026-01,4.47,1.5521927116,3,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BP_review_short_source_quality_repair_scout_without_db_v1,short_source_entry_quarter(진입분기)_2025Q2,synthetic_short_source_stress(합성 숏 원천 압박),2025Q2,-27.58,0.1757322176,4,standalone synthetic shorts weak in this segment(이 조각의 합성 숏 단독 품질 약함),"convert to quality constraint, not package promotion(품질 제약으로 쓰고 패키지 승격에는 쓰지 않음)",research_development_kpi_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
