gate_id,status,evidence_path,description,claim_boundary
parent_364H_gates_passed,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364H/required_gate_coverage_audit.csv,run364H gates(364H 게이트)를 상속 확인한다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
dense_source_rows_materialized,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/dense_m5_source_feature_matrix.csv,dense source(고밀도 원천)가 sparse expected tape(희소 예상 테이프)보다 넓다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
raw_m5_price_join_complete,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/dense_source_coverage.csv,raw M5 price join(원천 M5 가격 결합) 누락이 없다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
onnx_scoring_completed,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/dense_m5_source_feature_matrix.csv,run364E ONNX(온엑스) keep probability(유지 확률)를 dense rows(고밀도 행)에 계산했다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
proxy_variant_sweep_materialized,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/dense_proxy_variant_scorecard.csv,threshold/session/exit sweep(임계값/세션/청산 탐색)을 기록했다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
trade_density_no_split_audit_written,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/dense_proxy_variant_scorecard.csv,single-position entry-transition-only(단일 포지션 전환 진입) proxy(프록시)를 썼다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
findings_and_next_queue_written,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/run364J_offensive_next_queue.csv,findings(발견)와 next queue(다음 대기열)를 기록했다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
paired_tier_records_written,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/03_reviews/stage_run_ledger.csv,Tier A/B/A+B(티어 A/B/A+B) 기록 경계를 남긴다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
no_forbidden_operating_claim,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/final_decision.json,운영 승격/런타임 권위/목표 달성을 주장하지 않는다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
required_gate_coverage_audit_written,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364I/required_gate_coverage_audit.csv,required gate coverage audit(필수 게이트 커버리지 감사)를 기록한다.,research_development_dense_m5_proxy_prefilter_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
