check_name,status,detail,effect
grok_prompt_exists,passed,docs/agent_control/grok_reviews/2026-06-17_f68j_pre_unit_corrected_atr_runtime_probe/prompts/f68j_pre_unit_corrected_atr_runtime_probe_prompt.md,keeps required pre-probe review trace
grok_clean_output_exists,passed,docs/agent_control/grok_reviews/2026-06-17_f68j_pre_unit_corrected_atr_runtime_probe/outputs/clean_output.md,keeps Grok advice available before MT5
grok_metadata_exists,passed,docs/agent_control/grok_reviews/2026-06-17_f68j_pre_unit_corrected_atr_runtime_probe/outputs/metadata.json,keeps wrapper transport identity available
handoff_present,passed,stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68F_near_four_axis_onnx_runtime_repair_probe_v1/frontier68F_handoff_intent.csv,keeps F68F ONNX lineage fixed
model_exists,passed,stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68F_near_four_axis_onnx_runtime_repair_probe_v1/models/f68b_0872ddc6192f.onnx,proves ONNX artifact is locally available
feature_csv_exists,passed,stages/stage_frontier_68__runtime_native_trade_lifecycle_economics_proxy_onnx_scout/02_runs/frontier68F_near_four_axis_onnx_runtime_repair_probe_v1/features/f68f_no_mega_top3_3_49_14a037f12c_features.csv,proves feature handoff is locally available
variant_rows_three,passed,3,keeps F68J capped repair bounded
variant_caps_all_zero,passed,all min/max cap fields must be 0,prevents F68H 180/260 cap collapse repetition
variant_multipliers_distinct,passed,three multiplier pairs required,proves variants can differentiate before runtime
baseline_f68f_receipts_present,passed,2,"anchors KPI comparison to F68F, not F68H"
