horizon_id,description,start_time,end_time,source_attempt,trade_rows_in_scope,purpose,claim_boundary
full_forward,full raw-forward evidence(전체 원본 전진 근거),2026-04-14 08:00:00,2026-05-22 18:10:00,all,1347,cross-horizon robustness read(교차 기간 강건성 판독),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
first_half,first half by close time(종료 시간 기준 전반),2026-04-14 08:00:00,2026-05-03 13:05:00,all,580,cross-horizon robustness read(교차 기간 강건성 판독),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
second_half,second half by close time(종료 시간 기준 후반),2026-05-03 13:05:00,2026-05-22 18:10:00,all,767,cross-horizon robustness read(교차 기간 강건성 판독),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
month_2026-04,calendar month(달력 월) 2026-04,2026-04-14 08:00:00,2026-04-30 20:45:00,all,549,cross-horizon robustness read(교차 기간 강건성 판독),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
month_2026-05,calendar month(달력 월) 2026-05,2026-05-01 08:00:00,2026-05-22 18:10:00,all,798,cross-horizon robustness read(교차 기간 강건성 판독),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
worst_pocket_c56_bal_rf,attempt-specific rolling worst pocket(시도별 롤링 최악 포켓),2026-05-15 17:20:00,2026-05-20 16:35:00,c56_bal_rf,20,stress known curve pocket without retuning(알려진 곡선 포켓을 무재튜닝 압박),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
worst_pocket_c56_plain_rf,attempt-specific rolling worst pocket(시도별 롤링 최악 포켓),2026-05-18 18:20:00,2026-05-21 19:50:00,c56_plain_rf,20,stress known curve pocket without retuning(알려진 곡선 포켓을 무재튜닝 압박),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
worst_pocket_m48_bal_rf,attempt-specific rolling worst pocket(시도별 롤링 최악 포켓),2026-04-28 12:50:00,2026-04-30 08:35:00,m48_bal_rf,20,stress known curve pocket without retuning(알려진 곡선 포켓을 무재튜닝 압박),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
worst_pocket_m48_plain_rf,attempt-specific rolling worst pocket(시도별 롤링 최악 포켓),2026-04-27 16:05:00,2026-04-30 08:35:00,m48_plain_rf,20,stress known curve pocket without retuning(알려진 곡선 포켓을 무재튜닝 압박),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
worst_pocket_u42_bal_rf,attempt-specific rolling worst pocket(시도별 롤링 최악 포켓),2026-04-28 13:25:00,2026-04-30 09:05:00,u42_bal_rf,20,stress known curve pocket without retuning(알려진 곡선 포켓을 무재튜닝 압박),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
worst_pocket_u42_plain_rf,attempt-specific rolling worst pocket(시도별 롤링 최악 포켓),2026-05-18 09:20:00,2026-05-19 14:35:00,u42_plain_rf,20,stress known curve pocket without retuning(알려진 곡선 포켓을 무재튜닝 압박),research_development_only_cross_horizon_cost_curve_parity_design_no_threshold_retuning_no_candidate_selection_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
