run_id,source_path,sha256,source_role,effect,claim_boundary
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BC/final_decision.json,176d50e4d72d0ebeee28829099d7ff82cf53fb2e10c3df94ec6e85cfd36edb13,parent review evidence(부모 검토 근거),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BC/required_gate_coverage_audit.csv,4461bafe9182acb22b45d491e85a05a3a08c07c87fda85dc164996e5c029bfa5,parent review evidence(부모 검토 근거),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BC/run364BD_runtime_probe_package_queue.csv,3db3b6c38e6c8f29b3f36754c5dd216e0e435dbe1b63417af0ab2dfa2545619b,parent review evidence(부모 검토 근거),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/selected_proxy_candidate.json,e44bbb6af426f22f8e9439592d6d7f74623e97859d316bbf42933862d74fafa6,selected proxy candidate evidence(선택 프록시 후보 근거),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/expected_tapes/selected_trade_tape.csv,8f8715e8a8fd1daefc579afc356f01387fd874e11a15801310c1f8a7050ce734,selected proxy candidate evidence(선택 프록시 후보 근거),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364V/expected_tapes/dual_side_selected_expected_probability_tape.csv,2a4b4fdb831aa269be0465fc3f196df7714a101e1f6c5259c49da0eee7e097f1,shared ONNX runtime input(공유 온엑스 런타임 입력),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_matrices/density_lift_trade_shape_features.csv,b30205801b5d8c3615d886adafd7053e225179a31aaac01d4782d36c391990ca,shared ONNX runtime input(공유 온엑스 런타임 입력),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_order.json,d7a1067f22872488e8ef8c2fa66dbc644b3845662164dd6d9584c0a6d5a883cc,shared ONNX runtime input(공유 온엑스 런타임 입력),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364L/onnx/h12_move5__rf5_l80_n64.onnx,d30c9e623c7219ded72b3129b954b3efcb07e2f1ac8ba5fb9e22b070abef7667,shared ONNX runtime input(공유 온엑스 런타임 입력),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.mq5,ab1937e526f705ae3049b4c5a5999cb57a25aa782c312077bb1d56038ea2f423,EA runtime source(EA 런타임 소스),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BD_package_density_restore_stress_candidate_runtime_probe_without_db_v1,foundation/mt5/ObsidianPrimeV2_RuntimeProbeEA.ex5,a1ee76cc0cf83eb4eb3843e5130db1225fe504a05f67bbceba8f38e964dfc9cb,EA runtime source(EA 런타임 소스),package lineage input(패키지 계보 입력)을 고정한다.,research_development_runtime_probe_package_only_common_files_synced_compile_checked_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
