dimension,row_count,old_proxy_rank_usable,old_proxy_block_reason,scout_selection_usable,scout_forward_decision_usable,scout_diagnostic_usable,branch_variation_boundary,delta_review_decision,run335S_usability_judgment,next_stage_use,claim_boundary
curve_pocket,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,context_only_nonnumeric_proxy_rejected,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,context_only_nonnumeric_proxy_rejected,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,66,false,repeated_aggregate_context_only_not_branch_specific,false,false,true_pending_run335S_review,shared_attempt_values_present,old_proxy_rejected_scout_diagnostic_only,selection_blocked_diagnostic_only,research_guardrail_input_only,research_development_only_stage335S_review_closeout_open_stage336_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
