branch_name,attempt_name,control_rule,runtime_identity_status,decision_mismatch_rows,positive_inference_allowed,control_judgment,claim_boundary
cp322a_exact_blocker_control,c56_bal_rf,cp322a_exact_forward_route_signal_missing_non_identity_attempts_must_not_be_promoted,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,c56_plain_rf,cp322a_exact_forward_route_signal_missing_non_identity_attempts_must_not_be_promoted,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,m48_bal_rf,cp322a_exact_forward_route_signal_missing_non_identity_attempts_must_not_be_promoted,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,m48_plain_rf,cp322a_exact_forward_route_signal_missing_non_identity_attempts_must_not_be_promoted,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,u42_bal_rf,cp322a_exact_forward_route_signal_missing_non_identity_attempts_must_not_be_promoted,row_level_parity_confirmed_with_terminal_flat_feature_only_gap,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,u42_plain_rf,cp322a_exact_forward_route_signal_missing_non_identity_attempts_must_not_be_promoted,row_level_parity_confirmed_with_terminal_flat_feature_only_gap,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_bal_rf,adjacent_period_control_requires_separate_runtime_materialization_before_forward_claim,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,c56_plain_rf,adjacent_period_control_requires_separate_runtime_materialization_before_forward_claim,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,m48_bal_rf,adjacent_period_control_requires_separate_runtime_materialization_before_forward_claim,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,m48_plain_rf,adjacent_period_control_requires_separate_runtime_materialization_before_forward_claim,row_level_probability_and_decision_parity_confirmed,0,false,negative_control_boundary_enforced,research_development_only_stage335N_branch_specific_runtime_metric_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
