run_id,input_path,exists,sha256,input_role,effect,claim_boundary
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/final_decision.json,True,7ede9e1f343ce8baa22e08661d42c4cec736e3ec21315a423a0fc6bbc0f653b8,parent final decision(부모 최종 결정),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/required_gate_coverage_audit.csv,True,cd3602848c10ed45b9a9607362169790e1844fc4b00e6769e075eb84d4e35ece,supporting evidence(보조 근거),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/density_restore_stress_to_candidate_proxy_scout_surface.csv,True,ff3d5e9bf170ce320da3b817861701d2337278ba16199da1e3933509385b110c,BB proxy surface(BB 프록시 표면),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/strict_proxy_candidates.csv,True,16c77ffeaefea7bf4e2c204091188c31faeb2b852fe256de00e8bedd4fbf06ad,supporting evidence(보조 근거),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/package_eligible_candidates.csv,True,16c77ffeaefea7bf4e2c204091188c31faeb2b852fe256de00e8bedd4fbf06ad,package eligible proxy candidates(패키지 가능 프록시 후보),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/queue_replay_audit.csv,True,62f15138f7fe207a563532eef3a15525fc33996b32cd729615e39ac3f47a400a,supporting evidence(보조 근거),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/density_survival_comparison.csv,True,1450cfc81b2226b3e24b394aa3688e951c9a0d96c0c6755154cb84cdeac27121,supporting evidence(보조 근거),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/selected_proxy_candidate.json,True,e44bbb6af426f22f8e9439592d6d7f74623e97859d316bbf42933862d74fafa6,selected proxy candidate(선택 프록시 후보),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/expected_tapes/selected_trade_tape.csv,True,8f8715e8a8fd1daefc579afc356f01387fd874e11a15801310c1f8a7050ce734,selected proxy trade tape(선택 프록시 거래 테이프),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BC_review_density_restore_stress_to_candidate_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/selected_session_summary.csv,True,96a69fd7e5f352610c8b4965a3de26379dfee3c37a528bfbaa86fa08684d08be,supporting evidence(보조 근거),"BB review(BC 검토)의 입력 정체성(identity, 정체성)을 고정한다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
