source_artifact,plan_id,branch_id,gate_id,review_subject,measurement_review,execution_order_review,forbidden_shortcut_review,result_pending_review,review_decision,next_required_action,claim_boundary
cost_stress_schema.csv,repair_proxy_exclusion_handoff_contract__cost_buffer_gate,repair_proxy_exclusion_handoff_contract,cost_buffer_gate,cost_stress,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress_schema.csv,defense_cost_curve_underwater_gate__cost_buffer_gate,defense_cost_curve_underwater_gate,cost_buffer_gate,cost_stress,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress_schema.csv,defense_direction_symmetry_negative_control__cost_buffer_gate,defense_direction_symmetry_negative_control,cost_buffer_gate,cost_stress,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress_schema.csv,offense_m48_plain_density_quality_seed__cost_buffer_gate,offense_m48_plain_density_quality_seed,cost_buffer_gate,cost_stress,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress_schema.csv,offense_cost_buffer_feature_interaction_seed__cost_buffer_gate,offense_cost_buffer_feature_interaction_seed,cost_buffer_gate,cost_stress,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress_schema.csv,runtime_parity_probe_bridge_contract__cost_buffer_gate,runtime_parity_probe_bridge_contract,cost_buffer_gate,cost_stress,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket_schema.csv,repair_proxy_exclusion_handoff_contract__curve_pocket_gate,repair_proxy_exclusion_handoff_contract,curve_pocket_gate,curve_pocket,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket_schema.csv,defense_cost_curve_underwater_gate__curve_pocket_gate,defense_cost_curve_underwater_gate,curve_pocket_gate,curve_pocket,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket_schema.csv,defense_direction_symmetry_negative_control__curve_pocket_gate,defense_direction_symmetry_negative_control,curve_pocket_gate,curve_pocket,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket_schema.csv,offense_m48_plain_density_quality_seed__curve_pocket_gate,offense_m48_plain_density_quality_seed,curve_pocket_gate,curve_pocket,passed,passed,passed,passed,accepted_cost_curve_gate_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
