subject_id,subject_type,branch_id,blocked_shortcut_review,after_result_pick_review,execution_status_review,review_decision,next_required_action,claim_boundary
repair_proxy_exclusion_handoff_contract__direction_attribution_gate,long_short_attribution,repair_proxy_exclusion_handoff_contract,passed,passed,passed,accepted_direction_attribution_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__direction_attribution_gate,long_short_attribution,defense_cost_curve_underwater_gate,passed,passed,passed,accepted_direction_attribution_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__direction_attribution_gate,long_short_attribution,defense_direction_symmetry_negative_control,passed,passed,passed,accepted_direction_attribution_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__direction_attribution_gate,long_short_attribution,offense_m48_plain_density_quality_seed,passed,passed,passed,accepted_direction_attribution_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__direction_attribution_gate,long_short_attribution,offense_cost_buffer_feature_interaction_seed,passed,passed,passed,accepted_direction_attribution_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__direction_attribution_gate,long_short_attribution,runtime_parity_probe_bridge_contract,passed,passed,passed,accepted_direction_attribution_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,feature_family_seed_card,offense_m48_plain_density_quality_seed,passed,passed,passed,accepted_feature_seed_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__trade_density_target_runner,feature_family_seed_card,offense_m48_plain_density_quality_seed,passed,passed,passed,accepted_feature_seed_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder,feature_family_seed_card,offense_cost_buffer_feature_interaction_seed,passed,passed,passed,accepted_feature_seed_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__trade_density_target_runner,trade_density_target,offense_m48_plain_density_quality_seed,passed,passed,passed,accepted_trade_density_target_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
