scaffold_id,blueprint_id,branch_id,blueprint_family,scaffold_path,file_exists_review,manifest_hash_review,registry_hash_review,executable_flag_review,next_review_binding,forbidden_claim_review,review_decision,next_required_action,claim_boundary
run336H_001,repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,repair_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_002,repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,proxy_exclusion,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_003,repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,handoff_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_004,defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__cost_stress_runner.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_005,defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__rolling_curve_pocket_runner.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_006,defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__underwater_stretch_runner.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_007,defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__lot_normalized_view_builder.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_008,defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,direction,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__long_short_attribution_runner.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_009,defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_runner.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_010,defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,direction,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__side_drop_rejection_validator.csv,passed,passed,passed,passed,passed,passed,accepted_scaffold_index_manifest,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
