preflight_id,branch_id,runtime_subject,required_check,row_level_parity_binding_review,external_verification_log_review,runtime_authority_boundary_review,result_pending_review,review_decision,next_required_action,claim_boundary
repair_proxy_exclusion_handoff_contract__feature_order_identity,repair_proxy_exclusion_handoff_contract,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__model_bundle_identity,repair_proxy_exclusion_handoff_contract,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__mt5_report_telemetry_identity,repair_proxy_exclusion_handoff_contract,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__row_level_runtime_parity,repair_proxy_exclusion_handoff_contract,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__external_verification_status,repair_proxy_exclusion_handoff_contract,future branch claims requiring MT5,attempt command or exact blocker recorded,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__feature_order_identity,defense_cost_curve_underwater_gate,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__model_bundle_identity,defense_cost_curve_underwater_gate,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__mt5_report_telemetry_identity,defense_cost_curve_underwater_gate,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__row_level_runtime_parity,defense_cost_curve_underwater_gate,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__external_verification_status,defense_cost_curve_underwater_gate,future branch claims requiring MT5,attempt command or exact blocker recorded,passed,passed,passed,passed,accepted_runtime_identity_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
