blueprint_id,branch_id,blueprint_family,scaffold_path,accepted_for_run336J_probe_materialization,blocked_until,required_next_materialization,forbidden_use,review_decision,claim_boundary
repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,repair_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,proxy_exclusion,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,handoff_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__cost_stress_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__rolling_curve_pocket_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__underwater_stretch_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,cost_curve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__lot_normalized_view_builder.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,direction,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__long_short_attribution_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,negative_control,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_runner.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,direction,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__side_drop_rejection_validator.csv,true,run336J_inputs_materialized_and_run336K_runtime_attempt_or_exact_block,proxy_expected_inputs;fresh_mt5_probe_package;runtime_identity_preflight;negative_control_precheck;artifact_hash_registry,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,accepted_for_run336J_probe_materialization,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
