control_id,branch_id,target_risk,negative_control_only_review,canary_fail_closed_review,expected_failure_signature,stop_condition,review_decision,next_required_action,claim_boundary
direction_label_flip_canary,defense_direction_symmetry_negative_control,direction_label_leakage,passed,passed,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
promote_m48_plain_canary,offense_m48_plain_density_quality_seed,old_clue_promotion,passed,passed,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
copy_runtime_result_canary,offense_m48_plain_density_quality_seed,runtime_result_copy_overfit,passed,passed,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
entrypoint_copy_canary,runtime_parity_probe_bridge_contract,runtime_entrypoint_identity_drift,passed,passed,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
future_shift_join_canary,cross_branch_data_integrity,lookahead_leakage,passed,passed,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
threshold_lot_freeze_canary,cross_branch_data_integrity,after_result_threshold_or_lot_change,passed,passed,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
old_proxy_rank_canary,repair_proxy_exclusion_handoff_contract,old_proxy_selection_leakage,passed,passed,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direct_forward_pocket_filter_canary,defense_cost_curve_underwater_gate,after_result_curve_filtering,passed,passed,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
single_regime_overfit_canary,offense_cost_buffer_feature_interaction_seed,single_slice_overfit,passed,passed,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
zero_cost_only_canary,defense_cost_curve_underwater_gate,cost_fragility,passed,passed,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,accepted_negative_control_scaffold,run336J_materialize_proxy_expected_fresh_mt5_probe_inputs_v1,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
