stage_id,run_id,parent_run_id,run_date,status,judgment,decision,next_run_id,primary_artifact,report_path,gate_passes,gate_total,claim_boundary,view,tier,metric_scope,candidate_model_id,net_profit,profit_factor,drawdown,recovery_factor,trade_count,result_status,sample_rows,feature_count,matched_rows,expectancy,attempt_count,source_package_run_id,ledger_row_id,subrun_id,record_view,tier_scope,kpi_scope,scoreboard_lane,path,primary_kpi,guardrail_kpi,external_verification_status,notes
343_quality_margin_runtime__early_long_mix_mt5_probe,run343A_branch_stage342_to_quality_margin_runtime_probe_without_db_v1,run342H_materialize_early_long_quality_margin_mix_mt5_probe_package_without_db_v1,2026-06-01,completed_stage343A_branch_from_stage342_quality_margin_runtime_probe_opened_no_selection,stage_branch_completed_stage342_overweight_handoff_to_quality_margin_runtime_probe_no_selection,stage343A_open_run343B_execute_early_long_quality_margin_mix_probe,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343A/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343A_stage_branch.md,10,10,state_sync_stage_branch_quality_margin_runtime_handoff_only_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,stage_branch_handoff_run342H_package,logreg_balanced_c025_q01_q09_session_long_firewall_pack,,,,,,"stage_branch_opened_no_selection(단계 분기 완료, 선정 없음)",5827.0,53.0,,,8.0,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343A_branch_stage342_to_quality_margin_runtime_probe_without_db_v1,run342H_materialize_early_long_quality_margin_mix_mt5_probe_package_without_db_v1,2026-06-01,completed_stage343A_branch_from_stage342_quality_margin_runtime_probe_opened_no_selection,stage_branch_completed_stage342_overweight_handoff_to_quality_margin_runtime_probe_no_selection,stage343A_open_run343B_execute_early_long_quality_margin_mix_probe,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343A/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343A_stage_branch.md,10,10,state_sync_stage_branch_quality_margin_runtime_handoff_only_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,missing_required,,,,,,missing_required(필수 누락),,,,,,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343A_branch_stage342_to_quality_margin_runtime_probe_without_db_v1,run342H_materialize_early_long_quality_margin_mix_mt5_probe_package_without_db_v1,2026-06-01,completed_stage343A_branch_from_stage342_quality_margin_runtime_probe_opened_no_selection,stage_branch_completed_stage342_overweight_handoff_to_quality_margin_runtime_probe_no_selection,stage343A_open_run343B_execute_early_long_quality_margin_mix_probe,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343A/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343A_stage_branch.md,10,10,state_sync_stage_branch_quality_margin_runtime_handoff_only_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_q01_q09_session_long_firewall_pack,,,,,,same_as_tier_a_until_tier_b_available,5827.0,53.0,,,8.0,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,run343A_branch_stage342_to_quality_margin_runtime_probe_without_db_v1,2026-06-01,completed_stage343B_early_long_quality_margin_mix_mt5_probe_executed_review_required_no_selection,mt5_early_long_quality_margin_mix_probe_outputs_available_review_required_no_selection,stage343B_open_run343C_review_early_long_quality_margin_mix_probe,run343C_review_early_long_quality_margin_mix_mt5_probe_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343B/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343B_early_long_quality_margin_mix_mt5_probe.md,10,10,research_development_early_long_quality_margin_mix_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe,logreg_balanced_c025_h04_q02_l515_blk45,152.79,3.55,89.31,1.71,22.0,mt5_early_long_quality_margin_mix_probe_outputs_available_review_required_no_selection,,,46616.0,6.95,8.0,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,run343A_branch_stage342_to_quality_margin_runtime_probe_without_db_v1,2026-06-01,completed_stage343B_early_long_quality_margin_mix_mt5_probe_executed_review_required_no_selection,mt5_early_long_quality_margin_mix_probe_outputs_available_review_required_no_selection,stage343B_open_run343C_review_early_long_quality_margin_mix_probe,run343C_review_early_long_quality_margin_mix_mt5_probe_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343B/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343B_early_long_quality_margin_mix_mt5_probe.md,10,10,research_development_early_long_quality_margin_mix_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,,,,,,,missing_required(필수 누락),,,,,,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,run343A_branch_stage342_to_quality_margin_runtime_probe_without_db_v1,2026-06-01,completed_stage343B_early_long_quality_margin_mix_mt5_probe_executed_review_required_no_selection,mt5_early_long_quality_margin_mix_probe_outputs_available_review_required_no_selection,stage343B_open_run343C_review_early_long_quality_margin_mix_probe,run343C_review_early_long_quality_margin_mix_mt5_probe_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343B/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343B_early_long_quality_margin_mix_mt5_probe.md,10,10,research_development_early_long_quality_margin_mix_mt5_runtime_probe_attempt_only_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,logreg_balanced_c025_h04_q02_l515_blk45,152.79,3.55,89.31,1.71,22.0,same_as_tier_a_until_tier_b_available,,,46616.0,6.95,8.0,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343C_review_early_long_quality_margin_mix_mt5_probe_without_db_v1,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,2026-06-01,completed_stage343C_quality_margin_reviewed_profit_quality_clue_preserved_trade_shape_unresolved_no_selection,quality_margin_improves_profit_quality_but_does_not_recover_trade_shape_no_selection,stage343C_open_run343D_trade_shape_rescue_quality_margin_blend_package,run343D_materialize_trade_shape_rescue_quality_margin_blend_package_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343C/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343C_early_long_quality_margin_mix_mt5_probe_review.md,9,9,research_development_review_only_early_long_quality_margin_mt5_probe_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,mt5_runtime_probe_review,h04_q02_l515_blk45,152.79,3.55,89.31,1.71,22.0,"profit_quality_clue_preserved_trade_shape_unresolved_no_selection(수익 품질 단서 보존, 거래 형태 미해결, 선정 없음)",,,46616.0,6.95,8.0,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343C_review_early_long_quality_margin_mix_mt5_probe_without_db_v1,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,2026-06-01,completed_stage343C_quality_margin_reviewed_profit_quality_clue_preserved_trade_shape_unresolved_no_selection,quality_margin_improves_profit_quality_but_does_not_recover_trade_shape_no_selection,stage343C_open_run343D_trade_shape_rescue_quality_margin_blend_package,run343D_materialize_trade_shape_rescue_quality_margin_blend_package_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343C/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343C_early_long_quality_margin_mix_mt5_probe_review.md,9,9,research_development_review_only_early_long_quality_margin_mt5_probe_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier B separate(Tier B 분리),Tier B,missing_required,missing_required,,,,,,missing_required(필수 누락),,,,,,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343C_review_early_long_quality_margin_mix_mt5_probe_without_db_v1,run343B_execute_early_long_quality_margin_mix_mt5_probe_without_db_v1,2026-06-01,completed_stage343C_quality_margin_reviewed_profit_quality_clue_preserved_trade_shape_unresolved_no_selection,quality_margin_improves_profit_quality_but_does_not_recover_trade_shape_no_selection,stage343C_open_run343D_trade_shape_rescue_quality_margin_blend_package,run343D_materialize_trade_shape_rescue_quality_margin_blend_package_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343C/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343C_early_long_quality_margin_mix_mt5_probe_review.md,9,9,research_development_review_only_early_long_quality_margin_mt5_probe_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A+B combined(Tier A+B 합산),Tier A+B,same_as_tier_a_until_tier_b_available,h04_q02_l515_blk45,152.79,3.55,89.31,1.71,22.0,same_as_tier_a_until_tier_b_available,,,46616.0,6.95,8.0,,,,,,,,,,,,
343_quality_margin_runtime__early_long_mix_mt5_probe,run343D_materialize_trade_shape_rescue_quality_margin_blend_package_without_db_v1,run343C_review_early_long_quality_margin_mix_mt5_probe_without_db_v1,2026-06-01,completed_stage343D_trade_shape_rescue_quality_margin_blend_package_materialized_no_selection,trade_shape_rescue_quality_margin_blend_package_ready_runtime_execution_required_no_selection,stage343D_open_run343E_execute_trade_shape_rescue_quality_margin_blend_probe,run343E_execute_trade_shape_rescue_quality_margin_blend_mt5_probe_without_db_v1,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/02_runs/run343D/final_decision.json,stages/343_quality_margin_runtime__early_long_mix_mt5_probe/03_reviews/run343D_trade_shape_rescue_quality_margin_blend_probe_package.md,12,12,research_development_trade_shape_rescue_quality_margin_blend_runtime_probe_package_only_no_mt5_execution_no_candidate_selection_no_forward_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,Tier A separate(Tier A 분리),Tier A,runtime_probe_package_only_no_new_kpi,logreg_balanced_c025_stage343D_trade_shape_rescue_pack,,,,,,"mt5_probe_package_ready_runtime_execution_required(MT5 탐침 패키지 준비, 런타임 실행 필요)",5827.0,53.0,,,10.0,,,,,,,,,,,,
