run_id,gate,status,evidence,effect,claim_boundary
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,parent_review_gate(부모 검토 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AQ/final_decision.json,AQ review(검토) 완료와 package 0행 확인,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,source_surface_gate(원천 표면 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AP/hold6_pf_dd_repair_proxy_scout_surface.csv,AP scout surface(정찰 표면)에서 seed metric(씨앗 지표)을 읽음,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,queue_materialization_gate(대기열 구체화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/run364AS_scout_queue.csv,AS scout queue(정찰 대기열) 8행 생성,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,control_candidate_guardrail_gate(대조/후보/가드레일 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/run364AS_scout_queue.csv,2/5/1 구조 유지,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,implementation_boundary_gate(구현 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/policy_guardrail_audit.csv,implementation_required(구현 필요) 1행 분리,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/policy_guardrail_audit.csv,top_n forbidden(금지) 유지,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/policy_guardrail_audit.csv,거래 쪼개기 없음 유지,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,oos_threshold_lock_gate(표본외 임계값 잠금 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/policy_guardrail_audit.csv,OOS threshold selection(표본외 임계값 선택) 금지,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,timestamp_boundary_gate(시점 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/policy_guardrail_audit.csv,entry_time_known_only(진입 시점 알려진 값만 사용) 기록,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,stage_continuity_gate(단계 연속성 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/work_packet.json,새 stage(단계) 분기 없이 Stage364 유지,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AR_materialize_threshold_edge_pf_gap_repair_inputs_without_db_v1,claim_boundary_gate(주장 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/claim_boundary_receipt.json,운영 주장 없음,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
