run_id,review_id,value,detail,interpretation,claim_boundary
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,surface_count_summary(표면 수 요약),809,core_pass_rows=439;package_like_rows=37,surface is broad enough for review(검토할 만큼 표면이 넓음),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,selected_intervention_size(선택 개입 크기),5,suppressed_net=-15.29;selected=bs02_late_year_parent_session_suppress__moy12__h21__side_long,small intervention is attractive but sample-risky(작은 개입은 매력적이나 표본 위험이 있음),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,family_concentration(계열 집중),1,bs02_late_year_parent_session_suppress,precheck should carry parent-session gate explicitly(사전검사는 부모 세션 게이트를 명시해야 함),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_01,351.568099272,bs02_late_year_parent_session_suppress__moy12__h21__side_long;net=1063.14;pf=1.4220035161;density=3.0720720721;suppressed=5,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_02,351.568099272,bs02_late_year_parent_session_suppress__moy12__h21__side_both;net=1063.14;pf=1.4220035161;density=3.0720720721;suppressed=5,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_03,339.44843126,bs02_late_year_parent_session_suppress__moy12__h19_21__side_long;net=1069.6;pf=1.4285654756;density=3.0510510511;suppressed=12,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_04,339.44843126,bs02_late_year_parent_session_suppress__moy12__h19_21__side_both;net=1069.6;pf=1.4285654756;density=3.0510510511;suppressed=12,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_05,337.747624506,bs02_late_year_parent_session_suppress__moy12__h19__side_long;net=1054.31;pf=1.4194241877;density=3.0660660661;suppressed=7,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_06,337.747624506,bs02_late_year_parent_session_suppress__moy12__h19__side_both;net=1054.31;pf=1.4194241877;density=3.0660660661;suppressed=7,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_07,335.38183584,bs02_late_year_parent_session_suppress__moy12__h20_21__side_long;net=1057.91;pf=1.4207776639;density=3.0540540541;suppressed=11,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_08,335.38183584,bs02_late_year_parent_session_suppress__moy12__h20_21__side_both;net=1057.91;pf=1.4207776639;density=3.0540540541;suppressed=11,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_09,330.530338324,bs02_late_year_parent_session_suppress__moy12__h18_21__side_long;net=1062.27;pf=1.4260245179;density=3.036036036;suppressed=17,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BT_review_late_year_short_share_stress_repair_scout_without_db_v1,package_like_rank_10,329.825135912,bs02_late_year_parent_session_suppress__moy12__h19_20_21__side_long;net=1064.37;pf=1.4273414674;density=3.033033033;suppressed=18,neighbor candidate for BU comparison(BU 비교용 이웃 후보),research_development_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
