field,value
hypothesis,run267AB_weak_noncalendar_states_can_be_materialized_as_soft_score_table_guard_without_calendar_literal_filter
decision_use,materialize_MT5_attempt_inputs_only_no_candidate_selection
comparison_baseline,run267W true internal ablation score tables plus run267AB guard queue
control_variables,same_2024_period_same_candidate_pool_same_true_internal_score_table_sources_same_thresholds
changed_variables,adds_one_guard_score_feature_and_small_flat_bias_score_table_terms
sample_scope,Tier A and Tier A+B 2024 historical runtime attempts planned; no new MT5 KPI in materialization
success_criteria,variants=7;attempts=14;neutral_parity=7/7;surface_alignment=7/7
failure_criteria,surface_mismatch_or_neutral_parity_failure_or_trade_supply_collapses_in_next_MT5_execution
invalid_conditions,calendar_literal_filter_or_MT5_PnL_as_training_label_or_selected_candidate_claim
stop_conditions,do_not_extend_this_guard_branch_beyond_two_failed_materialization_execution_review_passes
evidence_plan,variant_manifest;runtime_contract;guard_diagnostics;neutral_parity;surface_alignment;attempt_manifest;future_MT5_trade_review
