artifact_id,path,file_exists_review,hash_review,run_binding_review,review_status,claim_boundary
run337J_materialize_runner_scaffolds_v1::stage_pipelines/stage337/materialize_runner_scaffolds.py,stage_pipelines/stage337/materialize_runner_scaffolds.py,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_source_lineage.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_source_lineage.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_family_manifest.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_family_manifest.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_index.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_index.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_materialize_runner_scaffolds_v1::stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
