source_path,exists,sha256,row_count_or_keys,review_status,allowed_use,forbidden_use,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_source_lineage.csv,true,143cc8be96dffe9baf94411f7b3fedae8769386e4b3a3b15d5c309e628edb6a4,26,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_family_manifest.csv,true,0eb64d4cd3d9adbe549de01cafeb7560bec3609139b7d24feb6efaa45630f085,9,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runner_scaffold_index.csv,true,38c47932eed45849f3ccb65391b86bbf8c8cd45d4655ecb4fe54f9324762909c,47,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/no_lookahead_runner_scaffold.csv,true,7ab3e910ad2b4882190ff20ab42d42fa40326a87a88f901133efb32676a1501f,5,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/proxy_mt5_runner_scaffold.csv,true,cfb231b2f5e6e027455f97039521c619a07fdb21743b1a0daa2a1fe0dd8fef62,5,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/core56_asof_runner_scaffold.csv,true,e0151abd74ccfaef8c2cfec2a4f1cd97aadce1c22e6c6877b45d75524f6a96c6,5,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/cost_direction_curve_runner_scaffold.csv,true,f45b1a288131615c39f2f1d2710cc6c4454ae8ff22467f8cee932f3dcd7b86b7,5,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/offense_branch_runner_scaffold.csv,true,324c8fc4358594d4a9aadeb60dc149074e51760f99de75c6ef1597b81af12a63,4,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/economic_regime_asof_runner_scaffold.csv,true,a0b7164886d00d617dbd51a321bd1214df0c6b8186965e4dbe832d6eab1f9fe1,6,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337J/runtime_probe_runner_scaffold.csv,true,29eab9224532429a9428f4e1f383128d7183d2783d894f22e7728c088f5bdbd5,5,accepted_source_input,run337K scaffold review only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
