preflight_id,package_family,check_order,evidence_review,pending_status_review,execution_block_review,next_review_binding,review_status,claim_boundary
no_lookahead_01_source_artifact_exists,no_lookahead,1,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_02_execution_flags_closed,no_lookahead,2,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_03_identity_fields_declared,no_lookahead,3,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_04_output_schema_declared,no_lookahead,4,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_05_blocked_command_written,no_lookahead,5,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_06_claim_boundary_receipt_bound,no_lookahead,6,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_01_source_artifact_exists,proxy_mt5,1,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_02_execution_flags_closed,proxy_mt5,2,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_03_identity_fields_declared,proxy_mt5,3,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_04_output_schema_declared,proxy_mt5,4,pass,pass,pass,pass,accepted_for_run337L_materialization,research_development_only_stage337K_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
