queue_rank,queue_id,bridge_expression,required_reason(필수 이유),run_id,next_run_id,claim_boundary(주장 경계),queue_type,seed_queue_id,seed_variant_id,short_probability_threshold,long_block_min,max_hold_m5,expected_effect(기대 효과),trade_splitting_status
1,baseline_replay_control,none,control baseline for attribution(귀속 기준),run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,control(대조),,,,,,,
2,stress_zone_3_control,entry_month=2025-03 block all,near-miss seed control(근접 실패 씨앗 기준),run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,control(대조),,,,,,,
3,stress_zone_4_control,entry_month=2025-03 block side=long,density-pass PF-lift seed control(밀도 통과 PF 상승 씨앗 기준),run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,control(대조),,,,,,,
4,stress3_restore_march_short_top5,entry_month=2025-03 restore side=short top_n=5 by p_short,,run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,bridge_scout(연결 정찰),stress_zone_3,stress_zone_3__ps0_45__adx40_0__hold8__entry_month2025_03,0.45,40.0,8,adds about five trades to cross density floor while preserving March long block(약 5개 거래를 복원해 밀도 하한을 넘기고 3월 롱 차단은 보존),not_used(거래 쪼개기 없음)
5,stress3_restore_march_non_hour16_top8,entry_month=2025-03 restore non_hour16 top_n=8 by absolute_margin,,run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,bridge_scout(연결 정찰),stress_zone_3,stress_zone_3__ps0_45__adx40_0__hold8__entry_month2025_03,0.45,40.0,8,tests whether hour16 risk was the March damage source(16시 위험이 3월 손상 원천인지 시험),not_used(거래 쪼개기 없음)
6,stress3_restore_march_adx45_long_top8,entry_month=2025-03 restore side=long adx_14>=45 top_n=8 by p_long,,run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,bridge_scout(연결 정찰),stress_zone_3,stress_zone_3__ps0_45__adx40_0__hold8__entry_month2025_03,0.45,45.0,8,tries quality-gated long restoration instead of full March removal(전체 3월 제거 대신 품질 제한 롱 복원 시험),not_used(거래 쪼개기 없음)
7,stress4_short0475_pf_lift,entry_month=2025-03 block side=long; short_threshold=0.475,,run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,bridge_scout(연결 정찰),stress_zone_4,stress_zone_4__ps0_45__adx40_0__hold8__entry_month2025_03_sidelong,0.475,40.0,8,keeps density-pass March-long block and lifts short quality(밀도 통과 3월 롱 차단을 유지하고 숏 품질을 올림),not_used(거래 쪼개기 없음)
8,stress4_short050_pf_lift,entry_month=2025-03 block side=long; short_threshold=0.50,,run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,bridge_scout(연결 정찰),stress_zone_4,stress_zone_4__ps0_45__adx40_0__hold8__entry_month2025_03_sidelong,0.5,40.0,8,stronger short quality lift with density stress tracked(더 강한 숏 품질 상승과 밀도 압박 추적),not_used(거래 쪼개기 없음)
9,adx38_stress3_month_block,adx_block_min=38; entry_month=2025-03 block all,,run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,bridge_scout(연결 정찰),adx38_density_counterfactual,adx38_density_counterfactual,0.45,38.0,8,combines ADX38 density recovery with full March damage cut(ADX38 밀도 회복과 3월 손상 차단 결합),not_used(거래 쪼개기 없음)
10,adx38_stress4_month_long_block,adx_block_min=38; entry_month=2025-03 block side=long,,run364AC_materialize_pf_dd_near_miss_density_bridge_without_db_v1,run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,bridge_scout(연결 정찰),adx38_density_counterfactual,adx38_density_counterfactual,0.45,38.0,8,keeps more density than full March block while cutting bad March longs(전체 3월 차단보다 밀도를 보존하며 나쁜 3월 롱을 자름),not_used(거래 쪼개기 없음)
