contract_symbol,row_count,duplicate_open_count,non_monotonic_count,gap_count_gt_5m,max_gap_minutes,bad_ohlc_count,zero_volume_count,status,effect,claim_boundary
US100,8661,0,0,31,2945.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
VIX,7723,0,0,525,2950.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
US10YR,6843,0,0,971,2945.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
USDX,7905,0,0,31,3070.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
NVDA,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AAPL,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
MSFT,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMZN,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMD,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
GOOGL.xnas,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
META,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
TSLA,2340,0,0,29,5375.0,0,0,passed,"중복/역순/OHLC 오류를 막고, 세션 공백은 별도 관찰값으로 남긴다.",research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
