gate_id,status,observed,expected,effect,claim_boundary
bo_gate_parent_final_loaded,passed,parent_next=run337BO_materialize_forward_safe_route_signal_rebuild_inputs_without_db_v1,run337BN opens run337BO(run337BN이 run337BO를 연다),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_parent_gates_passed,passed,bn_gates=12,run337BN gates passed(run337BN 게이트 통과),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_mt5_collection_completed,passed,collection_status=completed,MT5 raw refresh completed(MT5 원천 갱신 완료),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_us100_forward_data_present,passed,us100_status=completed,US100 forward raw data present(US100 전진 원천 존재),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_fresh_beyond_stage326,passed,fresh_beyond_stage326=True,fresh refresh extends Stage326 snapshot(Stage326 스냅샷보다 최신),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_us100_quality_passed,passed,us100_quality=True,US100 quality audit passed(US100 품질 감사 통과),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_firewall_passed,passed,firewall_rows=12,outcome source firewall passed(결과 원천 방화벽 통과),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_at_least_one_lane_available,passed,available_lanes=3,at least one rebuild lane available(최소 한 재구축 경로 가능),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_queue_ready,passed,queue_rows=1,run337BP queue ready(run337BP 대기열 준비),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
bo_gate_no_goal_or_forward_pass_claim,passed,forward_passed=not_claimed;goal=not_claimed,no forbidden claim(금지 주장 없음),input materialization stays separate from model or forward claims(입력 물질화를 모델/전진 주장과 분리),research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
