symbol,source_role,last_close_utc,lag_vs_us100_minutes,asof_join_status,stale_if_over_minutes,effect,claim_boundary
US100,target(대상),2026-05-27T13:45:00Z,0.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
VIX,volatility_regime(변동성 국면),2026-05-27T13:45:00Z,0.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
US10YR,rate_regime(금리 국면),2026-05-27T13:45:00Z,0.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
USDX,usd_regime(달러 국면),2026-05-27T13:45:00Z,0.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
NVDA,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AAPL,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
MSFT,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMZN,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMD,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
GOOGL.xnas,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
META,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
TSLA,mega_cap_context(대형주 문맥),2026-05-26T23:00:00Z,885.0,ready,10080,US100 추론 시각 이하의 최신 확정봉만 붙이는 조건을 확인한다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
