artifact,checked_columns,forbidden_terms_found,status,effect,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/US100/bars_us100_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/VIX/bars_vix_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/US10YR/bars_us10yr_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/USDX/bars_usdx_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/NVDA/bars_nvda_xnas_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AAPL/bars_aapl_xnas_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/MSFT/bars_msft_xnas_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AMZN/bars_amzn_xnas_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/AMD/bars_amd_xnas_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BO/raw_refresh_probe/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.csv,time_open_unix;time_close_unix;contract_symbol;broker_symbol;timeframe;price_basis;open;high;low;close;tick_volume;spread_points;real_volume;time_basis;timezone_status,,passed,결과 원천/거래 결과/미래 라벨 컬럼이 입력에 섞이지 않게 막는다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
