contract_symbol,broker_symbol,row_count,first_open_utc,last_open_utc,last_close_utc,csv_path,manifest_path,effect,claim_boundary
US100,US100,8232,2026-04-14T01:00:00Z,2026-05-25T19:55:00Z,2026-05-25T20:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\US100\bars_us100_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\US100\bars_us100_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
VIX,VIX,7357,2026-04-14T01:00:00Z,2026-05-25T18:25:00Z,2026-05-25T18:30:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\VIX\bars_vix_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\VIX\bars_vix_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
US10YR,US10YR,6567,2026-04-14T01:00:00Z,2026-05-25T19:55:00Z,2026-05-25T20:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\US10YR\bars_us10yr_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\US10YR\bars_us10yr_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
USDX,USDX,7520,2026-04-14T03:00:00Z,2026-05-25T21:05:00Z,2026-05-25T21:10:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\USDX\bars_usdx_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\USDX\bars_usdx_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
NVDA,NVDA.xnas,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\NVDA\bars_nvda_xnas_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\NVDA\bars_nvda_xnas_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AAPL,AAPL.xnas,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\AAPL\bars_aapl_xnas_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\AAPL\bars_aapl_xnas_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
MSFT,MSFT.xnas,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\MSFT\bars_msft_xnas_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\MSFT\bars_msft_xnas_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMZN,AMZN.xnas,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\AMZN\bars_amzn_xnas_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\AMZN\bars_amzn_xnas_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
AMD,AMD.xnas,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\AMD\bars_amd_xnas_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\AMD\bars_amd_xnas_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
GOOGL.xnas,GOOGL.xnas,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-22T23:00:00Z,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\GOOGL.xnas\bars_googl_xnas_m5_mt5api_raw.csv,C:\Users\awdse\AppData\Roaming\MetaQuotes\Terminal\D0E8209F77C8CF37AD8BF550E51FF075\MQL5\Experts\Project_Obsidian_Prime_v2\stages\326_forward__cp322a_frozen_forward_gate\01_inputs\raw_m5\GOOGL.xnas\bars_googl_xnas_m5_mt5api_raw.manifest.json,기존 Stage326(326단계) snapshot(스냅샷)과 새 refresh(갱신)를 비교하는 기준이다.,research_development_only_stage337BO_forward_safe_route_signal_rebuild_input_materialization_no_model_training_no_threshold_tuning_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
