run_id,source_queue_id,source_bridge_expression,safety_status,effect(효과),claim_boundary(주장 경계)
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,baseline_replay_control,none,accepted_timestamp_safe(시점 안전 수용),expression accepted as entry-time fixed rule(진입 시점 고정 규칙으로 수용),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_3_control,entry_month=2025-03 block all,accepted_timestamp_safe(시점 안전 수용),expression accepted as entry-time fixed rule(진입 시점 고정 규칙으로 수용),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress_zone_4_control,entry_month=2025-03 block side=long,accepted_timestamp_safe(시점 안전 수용),expression accepted as entry-time fixed rule(진입 시점 고정 규칙으로 수용),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_short_top5,entry_month=2025-03 restore side=short top_n=5 by p_short,"rewritten_top_n_not_replayed(상위 N개 표현 미재생, 고정 임계값 대체)",top_n expressions are not replayed because future month ranking is not runtime-safe(top_n 표현은 월 전체 미래 순위라 런타임 안전하지 않아 재생하지 않음),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_non_hour16_top8,entry_month=2025-03 restore non_hour16 top_n=8 by absolute_margin,"rewritten_top_n_not_replayed(상위 N개 표현 미재생, 고정 임계값 대체)",top_n expressions are not replayed because future month ranking is not runtime-safe(top_n 표현은 월 전체 미래 순위라 런타임 안전하지 않아 재생하지 않음),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress3_restore_march_adx45_long_top8,entry_month=2025-03 restore side=long adx_14>=45 top_n=8 by p_long,"rewritten_top_n_not_replayed(상위 N개 표현 미재생, 고정 임계값 대체)",top_n expressions are not replayed because future month ranking is not runtime-safe(top_n 표현은 월 전체 미래 순위라 런타임 안전하지 않아 재생하지 않음),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress4_short0475_pf_lift,entry_month=2025-03 block side=long; short_threshold=0.475,accepted_timestamp_safe(시점 안전 수용),expression accepted as entry-time fixed rule(진입 시점 고정 규칙으로 수용),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,stress4_short050_pf_lift,entry_month=2025-03 block side=long; short_threshold=0.50,accepted_timestamp_safe(시점 안전 수용),expression accepted as entry-time fixed rule(진입 시점 고정 규칙으로 수용),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,adx38_stress3_month_block,adx_block_min=38; entry_month=2025-03 block all,accepted_timestamp_safe(시점 안전 수용),expression accepted as entry-time fixed rule(진입 시점 고정 규칙으로 수용),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AD_train_pf_dd_near_miss_density_bridge_scout_without_db_v1,adx38_stress4_month_long_block,adx_block_min=38; entry_month=2025-03 block side=long,accepted_timestamp_safe(시점 안전 수용),expression accepted as entry-time fixed rule(진입 시점 고정 규칙으로 수용),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
