source_path,exists,sha256,row_count_or_keys,review_status,allowed_use,forbidden_use,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/run337G_blueprint_review_queue.csv,true,f183a644a1da34b979d1f72f614ae628c016213964bacb65c25897cf56da5bb6,8,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/blueprint_source_lineage_review.csv,true,cb18b38bc493547adf98f499b27601cab18330eee52e651e0150931830be4440,20,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/no_lookahead_harness_blueprint.csv,true,284b7b54ff2cc9ce8b7f89f5573ec9194c71e551ba40e381e03765f3f0a9fa2c,5,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/no_lookahead_harness_schema.json,true,69d69fc28f2f70bfdcbee3891f94a6661b6292e5ea0252d031a22afbb703135b,bad_control_families;claim_boundary;must_fail_to_pass;required_columns;schema_id,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/proxy_expected_schema_blueprint.csv,true,fe97e3d8777f1b472f26644bd2d872a3fb208bbf56220031246140bf27b40431,5,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/mt5_runtime_probe_package_blueprint.csv,true,67db3f611ccda6d663819bb4338c439386fb681c7a4dcad0dcd2893f0b516bd0,5,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/proxy_mt5_difference_schema.json,true,26ec51215c2141617bb2acfd3a14a5b9c3b42fb7786154dd77c8e38315046e90,claim_boundary;grain;kpi_authority;required_columns;schema_id;summary_metrics,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/core56_repair_blueprint.csv,true,dc4e8f3996cebe525be83664b07eaf82c1ab743eae6be7fd96efc837b934272f,5,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/core56_asof_join_schema.json,true,046e338df67e929541fb38f43dcb0098678d513c28456309efb4c2d5ba64f50c,claim_boundary;invalid_if;join_keys;repair_required_if;required_columns;schema_id,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/cost_direction_curve_extraction_blueprint.csv,true,4067799d62b91b20c210130fca286de782adeff48bd35c0f8611d1730499c7b2,5,accepted_for_review,run337G blueprint review and run337H package materialization queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
