gate_id,status,evidence,finding,claim_boundary
source_lineage_connected,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/blueprint_review_source_lineage.csv,source_rows=19;all_present=True,research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_blueprint_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/no_lookahead_harness_blueprint_review.csv,bad-control harness covers five no-lookahead risk families,research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_blueprint_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/proxy_mt5_blueprint_review.csv,"proxy expected, fresh MT5 package, and row-level difference schema accepted",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_repair_blueprint_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/core56_repair_blueprint_review.csv,core56 full-family claims remain blocked until as-of repair and fresh runtime package,research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_direction_curve_blueprint_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/cost_direction_curve_extraction_blueprint_review.csv,"cost, spread/slippage, direction/source, curve, lot-normalized, and regime reports accepted",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_blueprint_training_closed,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/offense_branch_blueprint_review.csv,offense branches are package-spec only and training-closed,research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
economic_regime_asof_blueprint_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/economic_regime_asof_blueprint_review.csv,"VIX, USD, rate, ADX, volatility, session, hour, month as-of slices accepted",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_probe_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/runtime_probe_package_blueprint_review.csv,runtime package specs remain probe-only with no runtime authority,research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_review_passed,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/claim_boundary_review.csv,"no training, MT5 execution, selection, Forward decision, runtime authority, or Goal Achieve claimed",research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
accepted_blueprint_queue_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337G/accepted_blueprints_for_package_queue.csv,accepted_blueprint_families=8,research_development_only_stage337G_blueprint_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
