source_path,exists,sha256,row_count_or_keys,review_status,allowed_use,forbidden_use,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/run337I_package_review_queue.csv,true,9c0178d4382aa2a9e215c4e8790331dfb983f144c621149c78054fddfd809f48,9,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/package_source_lineage_review.csv,true,9a48f8201c1009a5abdffdedc1e7dc836a97b05263e1ae26ae950479e8370017,28,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_package_spec.csv,true,ae3152491daf3cfbc457aade15283b1ae037ba27da1af8b814b8bf7c2cf54a1a,5,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/no_lookahead_canary_harness_contract.json,true,b3af2844235c0cf1ca8d42cf50f988cdc7221fbc1b8d6a91879942aa778e15bc,bad_control_families;claim_boundary;contract_id;execution_allowed;invalid_if;must_fail_to_pass;required_outputs;source_schema,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_package_spec.csv,true,c333017ed6982f69e4eeb09dfe7e473bd598b8f5c4d38e9251dc8b217731f813,5,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/proxy_mt5_fresh_probe_output_contract.json,true,bf2e5a177176313f2b480356601b092de392cac26bd50210929e556c565fa53b,blocked_if;claim_boundary;contract_id;execution_allowed;grain;kpi_authority;required_columns;required_identity;source_schema;summary_metrics,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/core56_asof_repair_package_spec.csv,true,81649200a07ade73399b897bc49221c283148593598bce7732fa33e1531b1f20,5,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/core56_asof_repair_contract.json,true,e95c2ac34eebd2572e945f3b7bd25b836dd24a4c028c2cc3fbddf52a4acf605f,claim_boundary;contract_id;execution_allowed;full_family_claims;invalid_if;join_keys;repair_required_if;required_columns;source_schema,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/cost_direction_curve_extraction_package_spec.csv,true,0e68b1e49d09c489c8f5fca5358ac932c29945f82b1388607bc149aba4711df6,5,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/cost_direction_curve_extraction_contract.json,true,b7e1b7120e89f82aa538ae3e2fe3dd95b281a42f402fe4cdcba593cbe366f8a1,claim_boundary;claim_boundary_rule;contract_id;execution_allowed;invalid_if;reports;required_report_groups;source_schema,accepted_for_review,run337I package review and run337J runner scaffold queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
