gate_id,status,evidence,finding,claim_boundary
source_lineage_connected,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/package_review_source_lineage.csv,source_rows=22;all_present=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337H_package_inputs_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/required_gate_coverage_audit.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337H/package_acceptance_matrix.csv,run337H_gates_pass=True;package_acceptance=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/no_lookahead_package_review.csv,no_lookahead_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/proxy_mt5_package_review.csv,proxy_mt5_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/core56_package_review.csv,core56_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_curve_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/cost_direction_curve_package_review.csv,cost_curve_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/offense_package_review.csv,offense_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/economic_regime_package_review.csv,regime_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/runtime_package_review.csv,runtime_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_boundary_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/claim_guard_package_review.csv,claim_boundary_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
package_index_package_review_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/package_index_review.csv,package_index_accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
accepted_packages_queue_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/accepted_packages_for_runner_scaffold_queue.csv,accepted_package_families=9;accepted=True,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_gap_queue_empty,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/repair_package_gap_queue.csv,repair_gap_rows=0,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337J_runner_scaffold_queue_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/run337J_runner_scaffold_materialization_queue.csv,run337J_queue_rows=9,research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
claim_guard_no_execution_no_goal,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337I/final_review_materialized_execution_packages_decision.json,"package review opens scaffold materialization only; no model training, MT5 execution, selection, Forward claim, runtime authority, or Goal Achieve",research_development_only_stage337I_package_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
