run_id,source_run_id,clue_type,rank,model_id,label_id,horizon_m5,policy_id,threshold_id,validation_net,oos_net,validation_profit_factor,oos_profit_factor,validation_trade_density,oos_trade_density,salvage_value,reopen_condition,claim_boundary
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,1,all58__dense_h24_move8pts__rf_depth5_leaf80_n48,dense_h24_move8pts,24,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_5_0,152.887,439.321,1.2240201034,1.9215048779,0.6830601093,0.8473282443,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,2,all58__dense_h24_move8pts__rf_depth5_leaf80_n48,dense_h24_move8pts,24,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_3_0,105.92,237.762,1.2032810545,1.6115686749,0.4644808743,0.5648854962,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,3,runtime_core__dense_h12_move5pts__rf_depth4_leaf120_n48,dense_h12_move5pts,12,long_only_margin,long_only_margin__validation_density_3_0,68.003,199.049,1.154395421,1.7957917378,0.5027322404,0.7328244275,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,4,all58__dense_h24_move8pts__rf_depth5_leaf80_n48,dense_h24_move8pts,24,long_only_margin,long_only_margin__validation_density_5_0,55.991,146.168,1.0791370974,1.3196074658,0.7431693989,0.8473282443,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,5,all58__native_fwd12_contract_label_class__rf_depth4_leaf120_n48,native_fwd12_contract_label_class,12,long_only_margin,long_only_margin__validation_density_8_0,101.147,129.039,1.0970733182,1.1721796425,1.349726776,1.5496183206,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,6,all58__dense_h24_move8pts__rf_depth5_leaf80_n48,dense_h24_move8pts,24,long_only_margin,long_only_margin__validation_density_3_0,87.257,93.463,1.2038200641,1.2845828982,0.4371584699,0.572519084,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,7,all58__dense_h6_move3pts__rf_depth5_leaf80_n48,dense_h6_move3pts,6,long_only_margin,long_only_margin__validation_density_3_0,60.145,89.391,1.098061594,1.2596658281,1.1092896175,1.1450381679,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,profit_pf_density_fail,8,all58__dense_h6_move3pts__rf_depth5_leaf80_n48,dense_h6_move3pts,6,long_only_margin,long_only_margin__validation_density_5_0,141.666,63.055,1.1638840945,1.1066752609,1.737704918,1.8396946565,"preserve signal quality(신호 품질 보존), repair density(밀도 수리)",pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,near_density_oos_positive,1,all58__dense_h6_move3pts__rf_depth4_leaf120_n48,dense_h6_move3pts,6,long_only_margin,long_only_margin__validation_density_8_0,3.914,73.98,1.0029241361,1.0734868299,2.7978142077,3.1679389313,push validation density over 3/day(검증 밀도 3/일 상향) without trade splitting(거래 쪼개기 없음),pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364K_review_direct_dense_m5_onnx_scout_without_db_v1,run364J_train_direct_dense_m5_return_onnx_scout_without_db_v1,density_oos_positive_validation_fail,1,all58__dense_h6_move3pts__rf_depth4_leaf120_n48,dense_h6_move3pts,6,two_sided_argmax_margin,two_sided_argmax_margin__validation_density_12_0,-304.078,231.495,0.863417373,1.1660605148,3.3169398907,3.358778626,repair validation stability(검증 안정성 수리) for dense h6(고밀도 6봉),pass validation/OOS density >= 3/day(검증/표본외 밀도 3/일 이상) with positive net and PF >= 1.05(양수 순수익과 수익 팩터 1.05 이상),research_development_kpi_evidence_review_only_no_new_model_training_no_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
