run_id,gate(게이트),status,evidence(근거),effect(효과),claim_boundary(주장 경계)
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/final_decision.json,run364AA scope(범위)를 proxy scout(프록시 탐색)로 닫는다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,data_integrity_audit(데이터 무결성 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/data_integrity_receipt.json,시점 안전 가드레일을 기록한다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,experiment_design_audit(실험 설계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/experiment_design_receipt.json,가설/비교/중단 조건을 기록한다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,proxy_replay_gate(프록시 재생 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/cost_session_guardrail_proxy_scout_surface.csv,queue(대기열)를 순서 재생했다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,performance_attribution_gate(성과 귀속 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/performance_attribution_receipt.json,기준 대비 KPI 차이를 남긴다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,model_boundary_gate(모델 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/model_boundary_receipt.json,새 모델 학습과 ONNX 승격을 주장하지 않는다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,result_judgment_gate(결과 판정 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/result_judgment_receipt.json,proxy scout(프록시 탐색) 경계로 판정한다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,artifact_lineage_audit(산출물 계보 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/artifact_lineage_receipt.json,입력/출력 해시를 연결한다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/claim_boundary_receipt.json,runtime authority(런타임 권위)를 닫지 않는다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AA/required_gate_coverage_audit.csv,required gate(필수 게이트)를 closeout(종료 기록)에 연결한다.,research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
