candidate_alias,candidate_id,candidate_role,weakness_axis,weakness_bucket,run267i_trade_count,run267i_net_profit,run267i_profit_factor,run267i_drawdown,target_net_floor,target_profit_factor_floor,target_drawdown_ceiling,target_effect,validation_note
s264_aih,s264_allow_inner_high_quarter,challenger_core(핵심 도전자),weekday,Monday,61,-136.08,0.628765,164.34,-100,0.75,25.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_aih,s264_allow_inner_high_quarter,challenger_core(핵심 도전자),month,2024-07,36,-104.02,0.520203,136.43,-80,0.75,23.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_aih,s264_allow_inner_high_quarter,challenger_core(핵심 도전자),chron_segment,chron_mid,117,-106.0,0.829492,202.92,-60,0.9,32.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_aih,s264_allow_inner_high_quarter,challenger_core(핵심 도전자),session_report,session_07_12_report_time,6,-100.41,0.0,100.41,-60,0.5,16.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_aih,s264_allow_inner_high_quarter,challenger_core(핵심 도전자),close_hour_report,12,3,-53.3,0.0,53.3,-30,0.7,12.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_lc,s264_lowrank_control,defensive_control(방어 기준),weekday,Monday,60,-140.37,0.604034,158.2,-105,0.72,25.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_lc,s264_lowrank_control,defensive_control(방어 기준),month,2024-07,36,-102.51,0.512275,131.53,-85,0.72,23.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_lc,s264_lowrank_control,defensive_control(방어 기준),chron_segment,chron_mid,116,-87.38,0.851306,186.25,-65,0.88,32.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_lc,s264_lowrank_control,defensive_control(방어 기준),session_report,session_07_12_report_time,6,-98.29,0.0,98.29,-65,0.5,16.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
s264_lc,s264_lowrank_control,defensive_control(방어 기준),close_hour_report,12,3,-52.1,0.0,52.1,-35,0.7,12.0,weak_slice_reduction_without_trade_count_collapse(거래 수 붕괴 없는 약점 구간 완화),use_as_materialization_gate_not_as_training_label(물질화 게이트로만 쓰고 학습 라벨로 쓰지 않음)
