queue_id,candidate_id,candidate_alias,test_id,shared_contract,feature_count,feature_order_hash,model_backend,model_materialization_type,materialization_boundary,short_threshold,long_threshold,min_margin,max_hold_bars,close_on_flat_signal,reverse_on_opposite_signal,close_only_on_opposite_signal,known_difference,runtime_claim_boundary
run267N_01_s264_aih_abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,abl_volatility_bandwidth,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,4,bc91bdf1a10eeeaf3d799304aed032755ce564ba16c372edfbbbdb2127b93751,ebm_table,context_proxy_score_table_extension_v1,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_02_s264_aih_abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,abl_trend_strength_direction,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,4,333af9f9e8d6630863ae3b077f9bbc44b3a93a20f8fbdc8924e58a1c7797b5ac,ebm_table,context_proxy_score_table_extension_v1,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_03_s264_aih_rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,rep_trend_strength_adx,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,4,87c4f67bf20f9731ec15ce00994066e569c3b5e9255b1907d56598336949db88,ebm_table,context_proxy_score_table_extension_v1,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_04_s264_aih_rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,rep_volatility_atr,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,4,ef54790c4852477bab905cef024ec8db5a29cb1c40583d090814f84f5428428b,ebm_table,context_proxy_score_table_extension_v1,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_05_s264_lc_abl_gate_rank_bucket,s264_lowrank_control,s264_lc,abl_gate_rank_bucket,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,3,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,ebm_table,direct_feature_value_neutralization_model_unchanged_v1,direct_runtime_surface_ablation(직접 런타임 표면 제거),0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_06_s264_lc_abl_gate_variant_rule,s264_lowrank_control,s264_lc,abl_gate_variant_rule,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,3,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,ebm_table,direct_set_parameter_gate_ablation_model_unchanged_v1,direct_runtime_surface_ablation(직접 런타임 표면 제거),0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_07_s264_lc_abl_trend_strength_direction,s264_lowrank_control,s264_lc,abl_trend_strength_direction,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,4,dfbe203aa16d6e4f2b162bf48dedb8a6e355fe688c4c5df40533f56f86006da0,ebm_table,context_proxy_score_table_extension_v1,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_08_s264_lc_rep_trend_strength_adx,s264_lowrank_control,s264_lc,rep_trend_strength_adx,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,4,44ef5295218d0a3aa9a9d4864b8584fb36c52f7f7f14ec6425cc196ee653fbb1,ebm_table,context_proxy_score_table_extension_v1,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_09_s264_lc_rep_volatility_atr,s264_lowrank_control,s264_lc,rep_volatility_atr,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,4,98f9c96ec080b3e4d49354efab8a100eba81774e723da69c73809ce2a919cfc3,ebm_table,context_proxy_score_table_extension_v1,"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
run267N_10_s262_lih_abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,abl_gate_rank_bucket,US100 M5;2024 historical stress window;MT5 RuntimeProbeEA;score_table_csv;attempt set/ini identity,3,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,ebm_table,direct_feature_value_neutralization_model_unchanged_v1,direct_runtime_surface_ablation(직접 런타임 표면 제거),0.54,0.52,0,3,false,true,false,"direct gate/rank variants change runtime surface; all other P0 rows are context proxy adapters, not true internal feature ablations",research_only_execution_pending_no_selected_candidate_no_onnx
