run_id,input_path,exists,sha256,input_role,effect,claim_boundary
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/final_decision.json,True,dac79ae53eebd20846201cd8a80bd3da1b6e576613020d85c5fd84f6e40749d7,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/required_gate_coverage_audit.csv,True,fef43d0919b1405a4229629bed19afbc2de0167b84dc884ade58d504bad9c7ab,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/run364BI_review_queue.csv,True,b8c95cfb21c7b209ee59dad16d4aa9d0cea1b9fda34a9603ad3c4d69324dc1fa,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/selected_proxy_candidate.json,True,bf3f923d882be24aff8a7b9d3e445dc306d9ab43b56d7e936824e71cb394618e,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/forward_regime_stress_proxy_scout_surface.csv,True,162c23de320024874251a5f9a301c9c25c7a2976b4a86dfa78df55151106e86a,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/selected_forward_block_replay.csv,True,518a7e2df7067977907662a51fd2baeff7d88cf39d93b63d854a8f02eafd9b22,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/selected_month_regime_replay.csv,True,01c839182ba920e229820fca0e01c49399c0c0778c8c1a075a2bf73af1a07825,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/short_restore_feasibility_audit.csv,True,116c23ffe41fb76bfee0286092d2b433a48b4843caf2e3acff17efdbddf59d1f,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BH/rejected_density_breaking_repairs.csv,True,74d3c9a5762b3fab9b067d6120439cbea370553a58d083adaf489616a9295906,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BI_review_density_restore_forward_regime_stress_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/03_reviews/run364BH_forward_regime_stress_proxy_scout.md,True,abb9e0e454781430c986bf16fbc3059d584dab6156f6a935a80127e940a1e201,BH proxy scout source(BH 프록시 탐색 원천),"입력 계보(lineage, 계보)를 고정해 BI 검토가 어떤 근거를 먹었는지 남긴다.",research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
