bar_time_server,timestamp_utc,row_index,p_short,p_flat,p_long
2026.04.14 03:05:00,2026-04-14T03:05:00Z,0,0.1160624921,0.6867984533,0.1971390098
2026.04.14 03:10:00,2026-04-14T03:10:00Z,1,0.1146559641,0.7159039378,0.1694400907
2026.04.14 03:15:00,2026-04-14T03:15:00Z,2,0.1091024876,0.7153812647,0.1755162328
2026.04.14 03:25:00,2026-04-14T03:25:00Z,3,0.1100721732,0.6838774681,0.2060503215
2026.04.14 03:35:00,2026-04-14T03:35:00Z,4,0.1005851924,0.7300922871,0.1693225503
2026.04.14 03:45:00,2026-04-14T03:45:00Z,5,0.09811075777,0.7191669345,0.1827222705
2026.04.14 03:50:00,2026-04-14T03:50:00Z,6,0.1066074073,0.7260494232,0.1673431993
2026.04.14 04:15:00,2026-04-14T04:15:00Z,7,0.09206012636,0.7745845914,0.1333553046
2026.04.14 04:40:00,2026-04-14T04:40:00Z,8,0.08677946776,0.7852075696,0.1280129999
2026.04.14 04:45:00,2026-04-14T04:45:00Z,9,0.08973245323,0.7766313553,0.1336361766
2026.04.14 04:55:00,2026-04-14T04:55:00Z,10,0.09090252221,0.7678329945,0.1412644833
2026.04.14 05:10:00,2026-04-14T05:10:00Z,11,0.07469727844,0.7959249616,0.1293777525
2026.04.14 05:15:00,2026-04-14T05:15:00Z,12,0.08099389821,0.7894444466,0.1295616627
2026.04.14 05:45:00,2026-04-14T05:45:00Z,13,0.08308938146,0.7854202986,0.1314902306
2026.04.14 06:35:00,2026-04-14T06:35:00Z,14,0.06729430705,0.790312767,0.142392993
2026.04.14 06:55:00,2026-04-14T06:55:00Z,15,0.05971958861,0.8014894724,0.13879098
2026.04.14 07:00:00,2026-04-14T07:00:00Z,16,0,1,0
2026.04.14 07:05:00,2026-04-14T07:05:00Z,17,0,1,0
2026.04.14 07:20:00,2026-04-14T07:20:00Z,18,0,1,0
2026.04.14 08:35:00,2026-04-14T08:35:00Z,19,0,1,0
2026.04.14 08:40:00,2026-04-14T08:40:00Z,20,0,1,0
2026.04.14 09:05:00,2026-04-14T09:05:00Z,21,0,1,0
2026.04.14 09:15:00,2026-04-14T09:15:00Z,22,0,1,0
2026.04.14 09:20:00,2026-04-14T09:20:00Z,23,0,1,0
2026.04.14 09:25:00,2026-04-14T09:25:00Z,24,0,1,0
2026.04.14 09:40:00,2026-04-14T09:40:00Z,25,0,1,0
2026.04.14 09:45:00,2026-04-14T09:45:00Z,26,0,1,0
2026.04.14 09:50:00,2026-04-14T09:50:00Z,27,0,1,0
2026.04.14 10:00:00,2026-04-14T10:00:00Z,28,0,1,0
2026.04.14 10:05:00,2026-04-14T10:05:00Z,29,0,1,0
2026.04.14 10:10:00,2026-04-14T10:10:00Z,30,0,1,0
2026.04.14 10:15:00,2026-04-14T10:15:00Z,31,0,1,0
2026.04.14 10:20:00,2026-04-14T10:20:00Z,32,0,1,0
2026.04.14 10:25:00,2026-04-14T10:25:00Z,33,0,1,0
2026.04.14 10:30:00,2026-04-14T10:30:00Z,34,0,1,0
2026.04.14 10:35:00,2026-04-14T10:35:00Z,35,0,1,0
2026.04.14 10:40:00,2026-04-14T10:40:00Z,36,0,1,0
2026.04.14 10:45:00,2026-04-14T10:45:00Z,37,0,1,0
2026.04.14 10:50:00,2026-04-14T10:50:00Z,38,0,1,0
2026.04.14 10:55:00,2026-04-14T10:55:00Z,39,0,1,0
2026.04.14 11:00:00,2026-04-14T11:00:00Z,40,0,1,0
2026.04.14 11:05:00,2026-04-14T11:05:00Z,41,0,1,0
2026.04.14 11:10:00,2026-04-14T11:10:00Z,42,0,1,0
2026.04.14 11:15:00,2026-04-14T11:15:00Z,43,0,1,0
2026.04.14 11:20:00,2026-04-14T11:20:00Z,44,0,1,0
2026.04.14 11:25:00,2026-04-14T11:25:00Z,45,0,1,0
2026.04.14 11:30:00,2026-04-14T11:30:00Z,46,0,1,0
2026.04.14 11:35:00,2026-04-14T11:35:00Z,47,0,1,0
2026.04.14 11:40:00,2026-04-14T11:40:00Z,48,0,1,0
2026.04.14 11:45:00,2026-04-14T11:45:00Z,49,0,1,0
2026.04.14 11:55:00,2026-04-14T11:55:00Z,50,0,1,0
2026.04.14 12:00:00,2026-04-14T12:00:00Z,51,0,1,0
2026.04.14 12:05:00,2026-04-14T12:05:00Z,52,0,1,0
2026.04.14 12:10:00,2026-04-14T12:10:00Z,53,0,1,0
2026.04.14 12:15:00,2026-04-14T12:15:00Z,54,0,1,0
2026.04.14 12:20:00,2026-04-14T12:20:00Z,55,0,1,0
2026.04.14 12:25:00,2026-04-14T12:25:00Z,56,0,1,0
2026.04.14 12:30:00,2026-04-14T12:30:00Z,57,0,1,0
2026.04.14 12:35:00,2026-04-14T12:35:00Z,58,0,1,0
2026.04.14 12:40:00,2026-04-14T12:40:00Z,59,0,1,0
2026.04.14 12:50:00,2026-04-14T12:50:00Z,60,0,1,0
