ledger_row_id,stage_id,run_id,subrun_id,parent_run_id,record_view,tier_scope,kpi_scope,scoreboard_lane,status,judgment,path,primary_kpi,guardrail_kpi,external_verification_status,notes,hcardrail_kpi,run_number,date,decision,next_run_id,rows,gate_passes,gate_total,claim_boundary,report_path,trained_models,onnx_parity,best_proxy,candidate_rows,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,run_date,primary_artifact,view,tier,metric_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,candidate_model_id,result_status,expected_probability_rows,long_trade_count,short_trade_count,feature_count,task_seed_rows,eligible_task_rows,trained_model_rows,best_inner_holdout_proxy_net,best_inner_holdout_profit_factor,candidate_model_ids,probe_priority_model,raw_top_model,lane,family,primary_report,balance_control_model,cost_control_model,primary_proxy_net,primary_profit_factor,primary_recovery_factor,sample_rows,attempt_count,source_package_run_id,row_id,scoreboard,evidence_boundary,work_family,evidence_scope,run_key,question,next_action,trade_density_per_feature_day,trade_density_requirement_status,result_judgment,max_drawdown_amount,final_decision_path,created_at,gate_audit_path,expected_estimated_mt5_density,usable_report_rows,artifact_count,created_at_utc,required_gate_audit,kpi_summary,runtime_authority,operating_promotion,trade_density,source_authority,goal_achieve,run_family,run_type,input_run_id,output_path,result_path,selected_net_profit,selected_profit_factor,selected_trade_density,expected_net_profit,expected_profit_factor,expected_trade_count,expected_trade_density,route_attribution_boundary,scaled_density_estimate,max_drawdown_percent,strict_joint_pass_count
frontier16A_stage_open_edge_quality_risk_veto_density_transfer_onnx_scout_v1__stage_open,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16A_stage_open_edge_quality_risk_veto_density_transfer_onnx_scout_v1,frontier16A_stage_open_edge_quality_risk_veto_density_transfer_onnx_scout_v1__stage_open,frontier15C_score_threshold_density_repair_or_closeout_decision_v1,stage_open(단계 개방),not_applicable_stage_open(단계 개방에는 해당 없음),"planning_only_no_trading_kpi(계획 전용, 거래 KPI 없음)",stage_open(단계 개방),opened_frontier16_edge_quality_risk_veto_density_transfer_onnx_scout_no_authority,stage_opened_after_grok_review_with_locked_decision_and_guard_manifest_no_authority,stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16A_stage_open_edge_quality_risk_veto_density_transfer_onnx_scout_v1_report.md,grok_classification=accepted(수용);guards=10;primary_cell=edge_margin__target8,no_model_no_wfo_no_mt5_no_authority(모델/WFO/MT5/권위 없음),not_applicable(해당 없음),next=frontier16B_edge_quality_risk_veto_proxy_scout_v1;locked_decision;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Can risk-quality labels improve edge under locked density transfer policy?(고정 빈도 전이 정책 아래 위험 품질 라벨이 엣지를 개선하는가?),,,,,,,,,,,,,,,not_claimed,not_claimed,,,not_claimed,stage_open(단계 개방),,,,,,,,,,,,,,,
frontier16B_edge_quality_risk_veto_proxy_scout_v1__tier_a_edge_quality_proxy,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16B_edge_quality_risk_veto_proxy_scout_v1,frontier16B_edge_quality_risk_veto_proxy_scout_v1__tier_a_edge_quality_proxy,frontier16A_stage_open_edge_quality_risk_veto_density_transfer_onnx_scout_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"edge_quality_proxy_not_runtime(엣지 품질 프록시, 런타임 아님)",edge_quality_risk_veto_proxy_scout(엣지 품질 위험 배제 프록시 탐색),edge_quality_risk_veto_no_strict_clue_no_authority,negative_memory_candidate(부정 기억 후보),stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16B_edge_quality_risk_veto_proxy_scout_v1_report.md,best=f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal__edge_margin__target8;cell=edge_margin__target8;strict=False;preserved=False;val_pf=1.06795;val_density=5.65574;val_dd=12.9599;oos_pf=0.942216;oos_density=5.45802;oos_dd=12.8032;worst_sub_dd=11.3056,"locked_single_cell_train_only_threshold_no_wfo_no_mt5_no_authority(고정 단일 칸 학습 전용 임계값, WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",strict=0;preserved=0;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16B_edge_quality_risk_veto_proxy_scout_v1__tier_b_missing_required,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16B_edge_quality_risk_veto_proxy_scout_v1,frontier16B_edge_quality_risk_veto_proxy_scout_v1__tier_b_missing_required,frontier16A_stage_open_edge_quality_risk_veto_density_transfer_onnx_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),edge_quality_risk_veto_proxy_scout(엣지 품질 위험 배제 프록시 탐색),edge_quality_risk_veto_no_strict_clue_no_authority,negative_memory_candidate(부정 기억 후보),stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16B_edge_quality_risk_veto_proxy_scout_v1_report.md,"missing_required_no_paired_source(필수 누락, 쌍 원천 없음)","locked_single_cell_train_only_threshold_no_wfo_no_mt5_no_authority(고정 단일 칸 학습 전용 임계값, WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",Tier B paired materialization not available(티어 B 쌍 물질화 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16B_edge_quality_risk_veto_proxy_scout_v1__tier_ab_combined_missing_required,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16B_edge_quality_risk_veto_proxy_scout_v1,frontier16B_edge_quality_risk_veto_proxy_scout_v1__tier_ab_combined_missing_required,frontier16A_stage_open_edge_quality_risk_veto_density_transfer_onnx_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),missing_required(필수 누락),edge_quality_risk_veto_proxy_scout(엣지 품질 위험 배제 프록시 탐색),edge_quality_risk_veto_no_strict_clue_no_authority,negative_memory_candidate(부정 기억 후보),stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16B_edge_quality_risk_veto_proxy_scout_v1_report.md,"missing_required_no_combined_claim(필수 누락, 합산 주장 없음)","locked_single_cell_train_only_threshold_no_wfo_no_mt5_no_authority(고정 단일 칸 학습 전용 임계값, WFO/MT5/권위 없음)","out_of_scope_by_claim_no_mt5(주장 범위 밖, MT5 없음)",combined record blocked by missing Tier B(티어 B 부재로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16C_edge_quality_risk_repair_or_closeout_decision_v1__tier_a_stage_closeout,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1__tier_a_stage_closeout,frontier16B_edge_quality_risk_veto_proxy_scout_v1,Tier A separate(티어 A 분리),Tier A(티어 A),"stage_closeout_negative_memory_not_runtime(단계 마감 부정 기억, 런타임 아님)",stage_closeout(단계 마감),closed_negative_memory_no_forward_clue_edge_quality_risk_veto_no_authority,"negative_memory_no_forward_clue_with_narrow_rf_density_dd_observation(부정 기억, 전진 단서 없음 + 좁은 랜덤포레스트 빈도/손실폭 관찰)",stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16C_edge_quality_risk_repair_or_closeout_decision_v1_report.md,best=f16b_edge_h8_t0p30_cap0p45_early0p25__rf_bal__edge_margin__target8;strict=False;preserved=False;val_pf=1.06795;val_density=5.65574;val_dd=12.9599;oos_pf=0.942216;oos_density=5.45802;oos_dd=12.8032,"grok_accepted_no_wfo_no_mt5_no_authority(그록 수용, WFO/MT5/권위 없음)","grok_closeout_review_done_wfo_mt5_out_of_scope_by_claim(그록 마감 검토 완료, WFO/MT5는 주장 범위 밖)",next=frontier17A_stage_open_new_hypothesis_design_v1;no_authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16C_edge_quality_risk_repair_or_closeout_decision_v1__tier_b_missing_required,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1__tier_b_missing_required,frontier16B_edge_quality_risk_veto_proxy_scout_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),stage_closeout(단계 마감),closed_negative_memory_no_forward_clue_edge_quality_risk_veto_no_authority,"negative_memory_no_forward_clue_with_narrow_rf_density_dd_observation(부정 기억, 전진 단서 없음 + 좁은 랜덤포레스트 빈도/손실폭 관찰)",stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16C_edge_quality_risk_repair_or_closeout_decision_v1_report.md,"missing_required_no_paired_source(필수 누락, 쌍 원천 없음)","grok_accepted_no_wfo_no_mt5_no_authority(그록 수용, WFO/MT5/권위 없음)","grok_closeout_review_done_wfo_mt5_out_of_scope_by_claim(그록 마감 검토 완료, WFO/MT5는 주장 범위 밖)",Tier B paired materialization not available(티어 B 쌍 물질화 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16C_edge_quality_risk_repair_or_closeout_decision_v1__tier_ab_combined_missing_required,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1__tier_ab_combined_missing_required,frontier16B_edge_quality_risk_veto_proxy_scout_v1,Tier A+B combined(티어 A+B 합산),Tier A+B(티어 A+B),missing_required(필수 누락),stage_closeout(단계 마감),closed_negative_memory_no_forward_clue_edge_quality_risk_veto_no_authority,"negative_memory_no_forward_clue_with_narrow_rf_density_dd_observation(부정 기억, 전진 단서 없음 + 좁은 랜덤포레스트 빈도/손실폭 관찰)",stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16C_edge_quality_risk_repair_or_closeout_decision_v1_report.md,"missing_required_no_combined_claim(필수 누락, 합산 주장 없음)","grok_accepted_no_wfo_no_mt5_no_authority(그록 수용, WFO/MT5/권위 없음)","grok_closeout_review_done_wfo_mt5_out_of_scope_by_claim(그록 마감 검토 완료, WFO/MT5는 주장 범위 밖)",combined record blocked by missing Tier B(티어 B 부재로 합산 기록 차단),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16D_runtime_probe_supplement_v1__tier_a_validation_is_runtime_probe,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16D_runtime_probe_supplement_v1,frontier16D_runtime_probe_supplement_v1__tier_a_validation_is_runtime_probe,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1,Tier A separate validation_is(티어 A 분리 validation_is),Tier A(티어 A),mt5_runtime_probe_observation(MT5 런타임 탐침 관찰),runtime_probe_supplement(런타임 탐침 보강),closed_negative_memory_with_frontier16d_runtime_probe_observation_no_authority,"runtime_probe_observation_negative_memory_unchanged(런타임 탐침 관찰, 부정 기억 유지)",stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16D_runtime_probe_supplement_v1_report.md,validation_is:status=completed/completed;pf=1.37;dd=12.2;trades=229;signal_diff=0,no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_attempted(MT5 런타임 탐침 시도됨),signal_diff=0;blocker=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16D_runtime_probe_supplement_v1__tier_a_oos_runtime_probe,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16D_runtime_probe_supplement_v1,frontier16D_runtime_probe_supplement_v1__tier_a_oos_runtime_probe,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1,Tier A separate oos(티어 A 분리 oos),Tier A(티어 A),mt5_runtime_probe_observation(MT5 런타임 탐침 관찰),runtime_probe_supplement(런타임 탐침 보강),closed_negative_memory_with_frontier16d_runtime_probe_observation_no_authority,"runtime_probe_observation_negative_memory_unchanged(런타임 탐침 관찰, 부정 기억 유지)",stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16D_runtime_probe_supplement_v1_report.md,oos:status=completed/completed;pf=0.87;dd=47.17;trades=164;signal_diff=0,no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_attempted(MT5 런타임 탐침 시도됨),signal_diff=0;blocker=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frontier16D_runtime_probe_supplement_v1__tier_b_missing_required,stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout,frontier16D_runtime_probe_supplement_v1,frontier16D_runtime_probe_supplement_v1__tier_b_missing_required,frontier16C_edge_quality_risk_repair_or_closeout_decision_v1,Tier B separate(티어 B 분리),Tier B(티어 B),missing_required(필수 누락),runtime_probe_supplement(런타임 탐침 보강),closed_negative_memory_with_frontier16d_runtime_probe_observation_no_authority,"runtime_probe_observation_negative_memory_unchanged(런타임 탐침 관찰, 부정 기억 유지)",stages/stage_frontier_16__edge_quality_risk_veto_density_transfer_onnx_scout/03_reviews/frontier16D_runtime_probe_supplement_v1_report.md,"missing_required_no_tier_b_runtime_probe(필수 누락, 티어 B 런타임 탐침 없음)",no_authority_no_goal_claim(권위/목표 주장 없음),mt5_runtime_probe_attempted(MT5 런타임 탐침 시도됨),Tier B source not materialized for F16D supplement(전선16D 보강에서 티어 B 원천 없음),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
