metric_id,metric_family,definition,source_required,join_key,time_axis,branch_specific_rule,lookahead_guard,output_grain,usable_for,not_usable_for,missing_policy
trade_ledger,runtime_trade_identity,"One row per MT5 closed trade/deal with open time, close time, side, volume, price, commission, swap, profit, and report identity.",run335K MT5 HTML report deal/trade table,attempt_name plus ticket or close_time nearest telemetry bar,MT5 broker server time; never future shifted,All branch metrics must derive from this ledger instead of repeated aggregate proxy values.,Do not filter after seeing profit; only join predeclared branch axes.,attempt_name x trade_id,"branch-specific KPI, attribution, curve, cost stress",candidate selection without run335N materialization and review,blocked_for_branch_specific_forward_judgment
headline_kpi,profitability_and_risk,"Net profit, profit factor, trade count, expectancy, max drawdown, and recovery factor recomputed or reconciled per attempt.",MT5 report summary plus parsed trade ledger,attempt_name,full run335K forward runtime interval,Report every branch against the same fixed attempts; no branch may reuse a single repeated proxy value as proof.,"No threshold, lot, or side change after KPI is seen.",branch_name x attempt_name,runtime metric comparison and failure-memory prioritization,Forward Passed or Goal Achieve alone,name_missing_dimension_and_continue_no_positive_claim
trades_per_day,activity_density,"Closed trades divided by elapsed calendar days and active market-session days, with both denominators recorded.",parsed trade ledger plus first/last telemetry cycle,attempt_name,closed trade time and telemetry bar time,Compute per branch only after branch scope is explicit; do not infer density from aggregate proxy.,No post-outcome date trimming.,branch_name x attempt_name,trade-density adequacy diagnostics,lot or threshold optimization,blocked_for_trade_density_claim
direction_attribution,long_short_attribution,"Net, PF, expectancy, count, drawdown contribution, and streak by long and short side while retaining combined total.",parsed trade ledger side/type field,attempt_name plus side,closed trade sequence,Long and short may be diagnosed separately but cannot be dropped to create a candidate.,"No side drop, side flip, or side-specific threshold retune.",branch_name x attempt_name x side plus combined,direction fragility attribution,side-filtered selection,blocked_for_direction_claim
curve_pocket,curve_quality,"Worst rolling trade window, worst equity pocket, pocket length, and recovery after pocket.",parsed trade ledger ordered by close time,attempt_name plus trade sequence,closed trade order; optional telemetry bar join,Use predeclared rolling windows; do not choose calendar windows after seeing damage.,No direct forward pocket exclusion.,branch_name x attempt_name x rolling_window,curve stability and pocket failure memory,date/month/hour veto without timestamp-safe predeclared feature design,blocked_for_curve_pocket_claim
underwater_stretch,drawdown_path,"Bars/trades spent below prior equity high, longest underwater stretch, drawdown depth, and recovery length.",parsed trade/equity sequence; report chart only as secondary visual,attempt_name plus trade sequence,closed trade order and telemetry bar time,"Compute sequence metrics from runtime evidence, not proxy aggregates.",No stopping after favorable recovery only.,branch_name x attempt_name,drawdown and recovery quality diagnosis,declaring runtime authority,blocked_for_underwater_claim
cost_stress,spread_slippage_stress,"Reprice each trade under predeclared extra spread and slippage grids, then recompute net/PF/DD and pocket metrics.","trade ledger with side, volume, entry, exit, point value, and lot",attempt_name plus trade_id,trade open and close time,Apply identical stress grid to every branch and attempt.,No stress grid picked after outcomes.,branch_name x attempt_name x stress_grid,cost fragility diagnosis,spread/slippage optimized retune,blocked_for_cost_stress_claim
lot_normalized,position_size_normalization,"Profit, loss, expectancy, and DD normalized by executed lot and by one-lot equivalent where possible.",trade ledger executed volume plus report profit,attempt_name plus trade_id,closed trade sequence,Normalize for interpretation only; never optimize lot.,No lot change or scale fitting.,branch_name x attempt_name,separating edge shape from lot scale,lot optimization,blocked_for_lot_normalized_claim
session_hour_regime,regime_attribution,"Trade and signal attribution by session, hour, month, volatility, ADX, VIX, USD, and rate-regime bins.",trade ledger joined to telemetry and predeclared feature/regime columns,attempt_name plus entry bar time,entry bar close/server time,"Regime bins are explanatory slices, not outcome-chosen filters.",No calendar or regime exclusion after seeing results.,branch_name x attempt_name x predeclared_regime_bin,macro/state attribution and overfit diagnosis,post-hoc regime filter selection,blocked_for_regime_claim
runtime_identity,runtime_parity,"Feature, model, set, telemetry, report, row-level probability, and decision identity for each attempt.",run335K handoff manifest and run335L parity summary,attempt_name,feature row and telemetry cycle bar time,Branch metrics are accepted only if runtime identity remains unchanged.,"No silent handoff, threshold, or feature-order change.",attempt_name,runtime parity gate,runtime authority without fresh reviewed output,blocked_for_runtime_claim
subject_boundary,negative_control,Reject cp322A-exact or subject-swap evidence when the report/model/handoff identity differs.,"run335D payloads, run335F protocols, run335K runtime identities",branch_name plus attempt_name,not_applicable_identity_gate,Control branches cannot be promoted; they test boundary discipline.,No positive inference from mismatched subject.,branch_name x attempt_name,boundary enforcement,candidate selection,blocked_for_subject_boundary_claim
tier_view,tier_scope,"Tier A separate, Tier B separate or fallback, and routed total records where data exists.",telemetry active_tier and branch protocol measurement plan,attempt_name plus tier,telemetry cycle bar time,Tier A and Tier B must be labeled separately before combined interpretation.,No Tier B omission when claim needs paired tier evidence.,branch_name x attempt_name x tier_scope,paired tier exploration discipline,overstating Tier A as full system,missing_required_or_out_of_scope_by_claim
