protocol_id,branch_id,branch_name,metric_id,metric_family,required_runtime_source,extraction_method,comparison_dimensions_from_run335F,branch_specific_acceptance_rule,no_retune_rule,lookahead_guard,selection_eligible,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,trade_ledger,runtime_trade_identity,run335K MT5 HTML report deal/trade table,parse_or_reconcile_mt5_report_summary_with_trade_ledger,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,Do not filter after seeing profit; only join predeclared branch axes.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,headline_kpi,profitability_and_risk,MT5 report summary plus parsed trade ledger,parse_or_reconcile_mt5_report_summary_with_trade_ledger,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,"No threshold, lot, or side change after KPI is seen.",false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,cost_stress,spread_slippage_stress,trade_ledger_with_side_volume_entry_exit_profit,parse_trade_ledger_then_apply_predeclared_spread_slippage_grid,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,No stress grid picked after outcomes.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,lot_normalized,position_size_normalization,trade ledger executed volume plus report profit,parse_or_reconcile_mt5_report_summary_with_trade_ledger,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,No lot change or scale fitting.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,curve_pocket,curve_quality,trade_ledger_or_structured_equity_curve,order_closed_trades_then_compute_predeclared_rolling_curve_and_underwater_windows,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,No direct forward pocket exclusion.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,trade_ledger,runtime_trade_identity,run335K MT5 HTML report deal/trade table,parse_or_reconcile_mt5_report_summary_with_trade_ledger,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,Do not filter after seeing profit; only join predeclared branch axes.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,curve_pocket,curve_quality,trade_ledger_or_structured_equity_curve,order_closed_trades_then_compute_predeclared_rolling_curve_and_underwater_windows,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,No direct forward pocket exclusion.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,underwater_stretch,drawdown_path,trade_ledger_or_structured_equity_curve,order_closed_trades_then_compute_predeclared_rolling_curve_and_underwater_windows,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,No stopping after favorable recovery only.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,session_hour_regime,regime_attribution,trade_ledger_plus_runtime_telemetry_plus_feature_matrix,join_trade_entry_time_to_telemetry_and_predeclared_feature_regime_bins,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,No calendar or regime exclusion after seeing results.,false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,headline_kpi,profitability_and_risk,MT5 report summary plus parsed trade ledger,parse_or_reconcile_mt5_report_summary_with_trade_ledger,"[""net_profit"", ""profit_factor"", ""max_drawdown"", ""trades_per_day"", ""expectancy"", ""recovery_factor"", ""curve_pocket"", ""underwater_stretch"", ""lot_normalized_result"", ""spread_slippage_stress"", ""session_hour_regime"", ""long_short_attribution""]",metric_value_must_vary_by_branch_or_be_explicitly_identity_wide; repeated_aggregate_proxy_is_context_only,model_threshold_lot_risk_stop_target_feature_order_and_handoff_remain_fixed,"No threshold, lot, or side change after KPI is seen.",false,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
