branch_id,branch_name,guard_id,rejected_bias_path,enforcement,materialization_check,claim_boundary
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,no_subject_swap,positive result from nonmatching report/model/handoff cannot prove cp322A exact or another subject,subject boundary metric rejects mismatch and marks control-only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,no_proxy_aggregate_promotion,repeated aggregate proxy numbers cannot stand in for branch-specific runtime outcome,run335N must parse trade ledger and recompute branch metrics,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,no_outcome_chosen_date_window,date/month/hour/pocket windows cannot be selected after seeing runtime profit,use predeclared rolling trade windows and predeclared session/hour/regime bins only,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,no_threshold_or_margin_retune,score threshold and D/B surface cannot move after new data is observed,all extraction rows carry fixed-threshold identity and no-retune rule,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,no_lot_or_cost_grid_optimization,lot and spread/slippage grid cannot be chosen to rescue KPI,cost grid is predeclared and applied uniformly to all branches/attempts,run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,no_side_drop,long or short cannot be removed because one side is weak,"direction report always includes long, short, and combined total",run335N_metric_tables_must_include_guard_columns_before_interpretation,research_development_only_stage335M_branch_specific_runtime_metric_extraction_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
