field,value
hypothesis,run267AE_weak_month_and_weekday_holes_are_noncalendar_state_expressions_that_can_be_pressure_tested_without_literal_calendar_filters
decision_use,create_bounded_followup_MT5_attempt_inputs_and_control_audit_only_no_candidate_selection
comparison_baseline,run267AC state_guard score tables and run267AE curve_time_slice_trade_quality review
control_variables,same_2024_period_same_candidate_pool_same_run267AC_feature_order_same_thresholds_same_EA_runtime_probe
changed_variables,guard_score_table_pressure_terms_only_for_s264_aia_dual_replacement_and_s264_aih_role_pressure
sample_scope,Tier A and Tier A+B 2024 historical runtime attempts planned; Tier A+B remains fallback-disabled duplicate boundary
success_criteria,future_MT5_preserves_trade_count_and_reduces_worst_month_or_worst_slice_without_calendar_literal_filter
failure_criteria,trade_supply_collapses_or_Monday_2024_12_holes_remain_deep_after_one_followup_pass
invalid_conditions,calendar_literal_filter_or_untracked_feature_order_or_claiming_selected_candidate_from_materialization
stop_conditions,do_not_extend_this_followup_branch_after_run267AH_review_if_deep_holes_remain
evidence_plan,shared_state_contrast;guard_materialization_queue;variant_manifest;runtime_contract;attempt_manifest;control_audit;future_MT5_curve_time_slice_review
required_gate_coverage,scope_completion_gate;kpi_contract_audit;skill_receipt_lint;required_gate_coverage_audit
