candidate_id,label_id,description,label_family,long_horizon_bars,short_horizon_bars,long_threshold_multiplier,short_threshold_multiplier,flat_band_rule,volatility_normalization,session_adjustment,threshold_source,model_family,model_variant,long_short_scope,decision_threshold,expected_trade_count_effect,overfit_risk,notes
c01_current_label_reference,stage41_c01_current_label_reference,current v2 label/reference behavior using fwd12 symmetric threshold,current_label_reference,12,12,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,reference,low,
c02_long_horizon_longer_short_same,stage41_c02_long18_short12,long horizon longer while short horizon stays at current horizon,long_horizon_longer,18,12,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,slightly lower,medium,
c03_short_horizon_shorter_long_same,stage41_c03_long12_short8,short horizon shorter while long horizon stays at current horizon,short_horizon_shorter,12,8,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,moderate,medium,
c04_asymmetric_long_slow_short_fast,stage41_c04_long18_short8,long opportunities get slower horizon and short opportunities get faster horizon,asymmetric_long_slow_short_fast,18,8,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,moderate,medium,
c05_asymmetric_long_fast_short_slow,stage41_c05_long8_short18,long opportunities get faster horizon and short opportunities get slower horizon,asymmetric_long_fast_short_slow,8,18,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,moderate,medium,
c06_wider_flat_band,stage41_c06_wider_flat_band,wider flat band with current horizon,flat_band_width,12,12,1.35,1.35,wider_flat_band_1_35x,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,lower,low,
c07_narrower_flat_band,stage41_c07_narrower_flat_band,narrower flat band with current horizon,flat_band_width,12,12,0.75,0.75,narrower_flat_band_0_75x,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,higher,medium,
c08_asymmetric_flat_band,stage41_c08_asymmetric_flat_band,directional thresholds create an asymmetric flat definition,asymmetric_flat_band,12,12,1.15,0.85,long_wider_short_narrower,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,moderate,medium,
c09_volatility_normalized_return_label,stage41_c09_vol_normalized,return thresholds scaled by trailing realized volatility,volatility_normalized_return,12,12,1.0,1.0,symmetric_current_band,True,False,volatility_scaled_base_threshold,elastic_net_logistic,balanced_multiclass_v1,both,0.44,moderate,medium,
c10_session_adjusted_label,stage41_c10_session_adjusted,thresholds adjusted by cash-session location,session_adjusted_label,12,12,1.0,1.0,symmetric_current_band,False,True,session_adjusted_base_threshold,elastic_net_logistic,balanced_multiclass_v1,both,0.44,moderate,medium,
c11_direction_specific_threshold_label,stage41_c11_direction_quantile_threshold,long and short thresholds derived from train-side directional quantiles,direction_specific_threshold,12,12,1.0,1.0,symmetric_current_band,False,False,directional_train_q60,elastic_net_logistic,balanced_multiclass_v1,both,0.44,moderate,medium,
c12_long_only_label_pressure_test,stage41_c12_long_only_pressure,long-side label quality pressure test,direction_side_pressure,12,12,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,long_only,0.44,lower,medium,
c13_short_only_label_pressure_test,stage41_c13_short_only_pressure,short-side label quality pressure test,direction_side_pressure,12,12,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,short_only,0.44,lower,medium,
c14_low_complexity_model_rebuilt_label,stage41_c14_low_complexity_long18_short8,simple regularized model trained on rebuilt asymmetric label,rebuilt_label_model_read,18,8,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,elastic_net_logistic,regularized_low_complexity_c04_label,both,0.44,moderate,medium,
c15_tree_model_rebuilt_label,stage41_c15_tree_long18_short8,constrained tree model trained on rebuilt asymmetric label,rebuilt_label_model_read,18,8,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,extra_trees_depth4,constrained_tree_c04_label,both,0.44,moderate,medium_high,
c16_calibrated_rebuilt_label,stage41_c16_calibrated_long18_short8,calibration layer on rebuilt-label probabilities,rebuilt_label_calibration_read,18,8,1.0,1.0,symmetric_current_band,False,False,base_threshold_multiplier,calibrated_logistic,train_probability_gate_c04_label,both,0.5,lower,medium,
c17_extreme_horizon_stress,stage41_c17_extreme_long24_short6,extreme horizon contrast to expose failure boundary,extreme_horizon_stress,24,6,1.2,0.9,extreme_horizon_contrast,False,False,base_threshold_multiplier,elastic_net_logistic,balanced_multiclass_v1,both,0.44,lower,high,
