scaffold_id,blueprint_id,branch_id,lane,blueprint_family,blueprint_name,scaffold_path,schema_artifacts,source_review_artifact,source_review_sha256,future_artifact_hint,materialization_status,executable,model_training_allowed,mt5_execution_allowed,selection_allowed,forward_decision_allowed,runtime_authority_allowed,next_review_required,forbidden,claim_boundary
run336H_001,repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,repair,repair_identity,same_bar_repair_identity_manifest_builder,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_identity_manifest_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/external_verification_log_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/runtime_identity_blueprint_review.csv,0b9431e1a1f6b84f4789c5028de43b577efa2420ab764df62e1e91d75df2513f,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_002,repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,repair,proxy_exclusion,proxy_null_rank_validator,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/canary_expected_failure_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/proxy_mt5_difference_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/blueprint_field_contract_review.csv,8940b007927d7e8b8fc1a0bf0ef021da4883cebdc84b78fdc2f882bfa40577f1,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_003,repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,repair,handoff_identity,handoff_identity_diff_template,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_identity_manifest_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/row_level_parity_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/runtime_identity_blueprint_review.csv,0b9431e1a1f6b84f4789c5028de43b577efa2420ab764df62e1e91d75df2513f,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_004,defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,defense,cost_curve,cost_stress_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__cost_stress_runner.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cost_stress_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/curve_pocket_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/underwater_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/lot_normalized_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/gate_regime_tier_blueprint_review.csv,b87e6d085bb3115baf0662cb838b562e0a40629349d8c96ee81d0d140a861c26,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__cost_stress_runner.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_005,defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,defense,cost_curve,rolling_curve_pocket_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__rolling_curve_pocket_runner.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cost_stress_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/curve_pocket_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/underwater_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/lot_normalized_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/gate_regime_tier_blueprint_review.csv,b87e6d085bb3115baf0662cb838b562e0a40629349d8c96ee81d0d140a861c26,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__rolling_curve_pocket_runner.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_006,defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,defense,cost_curve,underwater_stretch_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__underwater_stretch_runner.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cost_stress_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/curve_pocket_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/underwater_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/lot_normalized_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/gate_regime_tier_blueprint_review.csv,b87e6d085bb3115baf0662cb838b562e0a40629349d8c96ee81d0d140a861c26,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__underwater_stretch_runner.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_007,defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,defense,cost_curve,lot_normalized_view_builder,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__lot_normalized_view_builder.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cost_stress_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/curve_pocket_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/underwater_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/lot_normalized_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/gate_regime_tier_blueprint_review.csv,b87e6d085bb3115baf0662cb838b562e0a40629349d8c96ee81d0d140a861c26,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__lot_normalized_view_builder.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_008,defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,defense,direction,long_short_attribution_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__long_short_attribution_runner.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/direction_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/long_short_attribution_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/gate_regime_tier_blueprint_review.csv,b87e6d085bb3115baf0662cb838b562e0a40629349d8c96ee81d0d140a861c26,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__long_short_attribution_runner.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_009,defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,defense,negative_control,direction_label_flip_canary_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_runner.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/canary_expected_failure_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/negative_control_blueprint_review.csv,c1b6018712bebc9179793c8838df883a0c39ad6dc14b2a51a2d3272e5eecff23,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_runner.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_010,defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,defense,direction,side_drop_rejection_validator,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__side_drop_rejection_validator.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/direction_schema.csv;stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/long_short_attribution_schema.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336G/gate_regime_tier_blueprint_review.csv,b87e6d085bb3115baf0662cb838b562e0a40629349d8c96ee81d0d140a861c26,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__side_drop_rejection_validator.csv,materialized_schema_scaffold_no_execution,false,false,false,false,false,false,run336I_review_constraint_bound_runner_scaffolds_v1,model_training;mt5_execution;threshold_retuning;lot_optimization;candidate_selection;Forward_decision;runtime_authority;deployment;operating_promotion;Goal_Achieve,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
