blueprint_id,branch_id,blueprint_name,future_artifact_hint,must_exist_before_execution_review,hash_required,registry_required,expected_hash_algorithm,current_hash_status,claim_boundary
repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,same_bar_repair_identity_manifest_builder,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,proxy_null_rank_validator,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,handoff_identity_diff_template,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,cost_stress_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__cost_stress_runner.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,rolling_curve_pocket_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__rolling_curve_pocket_runner.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,underwater_stretch_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__underwater_stretch_runner.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,lot_normalized_view_builder,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__lot_normalized_view_builder.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,long_short_attribution_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__long_short_attribution_runner.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,direction_label_flip_canary_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_runner.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,side_drop_rejection_validator,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__side_drop_rejection_validator.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,offense_m48_plain_density_quality_seed,feature_family_seed_card_builder,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__feature_family_seed_card_builder.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__trade_density_target_runner,offense_m48_plain_density_quality_seed,trade_density_target_runner,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__trade_density_target_runner.csv,true,true,true,sha256_lf_normalized,pending_future_runner_output,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
